,Classification
1perm1Normal,0.99109787
2perm1Normal,0.9955289
3perm1Normal,0.9901895
4perm1Normal,0.9813896
5perm1Normal,0.99980265
6perm1Normal,0.9300426
7perm1Normal,0.9934378
8perm1Normal,0.9687722
9perm2Normal,0.9694244
10perm2Normal,0.55678755
11perm2Normal,0.9764083
12perm2Normal,0.99420387
13perm2Normal,0.9564219
14perm2Normal,0.99171257
15perm2Normal,0.99238294
16perm2Normal,0.97098285
17perm3Normal,0.7348267
18perm3Normal,0.8346235
19perm3Normal,0.9705
20perm3Normal,0.98514014
21perm3Normal,0.9899137
22perm3Normal,0.31726065
23perm3Normal,0.97841954
24perm3Normal,0.977747
25perm4Normal,0.99966633
26perm4Normal,0.9901776
27perm4Normal,0.9679263
28perm4Normal,0.9985317
29perm4Normal,0.41893506
30perm4Normal,0.95632976
31perm4Normal,0.9027159
32perm4Normal,0.95644
33perm5Normal,0.9660433
34perm5Normal,0.9918554
35perm5Normal,0.9996604
36perm5Normal,0.99962413
37perm5Normal,0.9950224
38perm5Normal,0.9947002
39perm5Normal,0.6046282
40perm5Normal,0.9516327
41perm6Normal,0.96999836
42perm6Normal,0.9965628
43perm6Normal,0.9849364
44perm6Normal,0.035225783
45perm6Normal,0.95451957
46perm6Normal,0.93913656
47perm6Normal,0.9995173
48perm6Normal,0.98407906
49perm7Normal,0.8120867
50perm7Normal,0.9888073
51perm7Normal,0.63525635
52perm7Normal,0.9263623
53perm7Normal,0.9994672
54perm7Normal,0.4705515
55perm7Normal,0.9848631
56perm7Normal,0.97478443
57perm8Normal,0.9964205
58perm8Normal,0.13855152
59perm8Normal,0.93599135
60perm8Normal,0.9784509
61perm8Normal,0.53091127
62perm8Normal,0.9662592
63perm8Normal,0.97882026
64perm8Normal,0.99220043
65perm9Normal,0.16583179
66perm9Normal,0.9196703
67perm9Normal,0.9991997
68perm9Normal,0.99112624
69perm9Normal,0.98574847
70perm9Normal,0.98996264
71perm9Normal,0.99620503
72perm9Normal,0.9600937
73perm10Normal,0.98650265
74perm10Normal,0.97040725
75perm10Normal,0.9719187
76perm10Normal,0.99025154
77perm10Normal,0.9618277
78perm10Normal,0.049996797
79perm10Normal,0.6618382
80perm10Normal,0.9762632
81perm11Normal,0.99814403
82perm11Normal,0.97633195
83perm11Normal,0.975552
84perm11Normal,0.99728775
85perm11Normal,0.997018
86perm11Normal,0.996911
87perm11Normal,0.9937449
88perm11Normal,0.9416931
89perm12Normal,0.9462038
90perm12Normal,0.46807986
91perm12Normal,0.9700504
92perm12Normal,0.99506605
93perm12Normal,0.98146373
94perm12Normal,0.7419227
95perm12Normal,0.9957611
96perm12Normal,0.9743746
97perm13Normal,0.768371
98perm13Normal,0.99868447
99perm13Normal,0.98385924
100perm13Normal,0.99684864
101perm13Normal,0.95525545
102perm13Normal,0.9506122
103perm13Normal,0.43217498
104perm13Normal,0.9914262
105perm14Normal,0.99278355
106perm14Normal,0.97137254
107perm14Normal,0.04334507
108perm14Normal,0.99767464
109perm14Normal,0.96183825
110perm14Normal,0.97786844
111perm14Normal,0.9592101
112perm14Normal,0.9596619
113perm15Normal,0.9652191
114perm15Normal,0.2812934
115perm15Normal,0.69619113
116perm15Normal,0.9957617
117perm15Normal,0.3966208
118perm15Normal,0.9474722
119perm15Normal,0.37497172
120perm15Normal,0.96196115
121perm16Normal,0.9956863
122perm16Normal,0.999908
123perm16Normal,0.05327591
124perm16Normal,0.76700306
125perm16Normal,0.97582686
126perm16Normal,0.9710615
127perm16Normal,0.9981116
128perm16Normal,0.9069511
129perm17Normal,0.78254485
130perm17Normal,0.9771737
131perm17Normal,0.1807077
132perm17Normal,0.95998496
133perm17Normal,0.9638163
134perm17Normal,0.9442104
135perm17Normal,0.28519067
136perm17Normal,0.99819404
137perm18Normal,0.9806707
138perm18Normal,0.9886846
139perm18Normal,0.024178589
140perm18Normal,0.9846414
141perm18Normal,0.080783874
142perm18Normal,0.5336984
143perm18Normal,0.96930313
144perm18Normal,0.99386
145perm19Normal,0.9970559
146perm19Normal,0.9599873
147perm19Normal,0.76802963
148perm19Normal,0.9863225
149perm19Normal,0.9994642
150perm19Normal,0.87268794
151perm19Normal,0.9707606
152perm19Normal,0.9970898
153perm20Normal,0.81864727
154perm20Normal,0.36025852
155perm20Normal,0.011689329
156perm20Normal,0.99400973
157perm20Normal,0.99640614
158perm20Normal,0.9737168
159perm20Normal,0.949965
160perm20Normal,0.9927153
161perm21Normal,0.9597999
162perm21Normal,0.8897243
163perm21Normal,0.16742262
164perm21Normal,0.996843
165perm21Normal,0.97449535
166perm21Normal,0.9413044
167perm21Normal,0.9922388
168perm21Normal,0.99258655
169perm22Normal,0.8764039
170perm22Normal,0.90575
171perm22Normal,0.98593926
172perm22Normal,0.58152014
173perm22Normal,0.98599535
174perm22Normal,0.98165846
175perm22Normal,0.9760006
176perm22Normal,0.93464476
177perm23Normal,0.035519328
178perm23Normal,0.0005310815
179perm23Normal,0.9999708
180perm23Normal,0.5005398
181perm23Normal,0.89503586
182perm23Normal,0.6827132
183perm23Normal,0.7202146
184perm23Normal,0.98526275
185perm24Normal,0.9997762
186perm24Normal,0.995691
187perm24Normal,0.9989403
188perm24Normal,0.9543934
189perm24Normal,0.034538437
190perm24Normal,0.8708354
191perm24Normal,0.9771722
192perm24Normal,0.9621644
193perm25Normal,0.9807643
194perm25Normal,0.67871326
195perm25Normal,0.42828563
196perm25Normal,0.70496243
197perm25Normal,0.99653673
198perm25Normal,0.99376845
199perm25Normal,0.9361499
200perm25Normal,0.9913224
201perm26Normal,0.9966248
202perm26Normal,0.17884083
203perm26Normal,0.020358382
204perm26Normal,0.98850447
205perm26Normal,0.930228
206perm26Normal,0.98778385
207perm26Normal,0.9151584
208perm26Normal,0.9950598
209perm27Normal,0.61218005
210perm27Normal,0.9562335
211perm27Normal,0.99983037
212perm27Normal,0.9920739
213perm27Normal,0.9972036
214perm27Normal,0.96423
215perm27Normal,0.9930882
216perm27Normal,0.98290145
217perm28Normal,0.97313
218perm28Normal,0.39510593
219perm28Normal,0.99706954
220perm28Normal,0.9772814
221perm28Normal,0.9959259
222perm28Normal,0.99729735
223perm28Normal,0.56464845
224perm28Normal,0.89175373
225perm29Normal,0.9564983
226perm29Normal,0.99959415
227perm29Normal,0.992546
228perm29Normal,0.9902851
229perm29Normal,0.98526484
230perm29Normal,0.9517963
231perm29Normal,0.9942662
232perm29Normal,0.9522988
233perm30Normal,0.99968505
234perm30Normal,0.040147346
235perm30Normal,0.9970114
236perm30Normal,0.9662752
237perm30Normal,0.99740607
238perm30Normal,0.93999314
239perm30Normal,0.8896123
240perm30Normal,0.98903406
241perm31Normal,0.87760705
242perm31Normal,0.8628446
243perm31Normal,0.96585476
244perm31Normal,0.9938769
245perm31Normal,0.9361778
246perm31Normal,0.9947714
247perm31Normal,0.96117777
248perm31Normal,0.9859774
249perm32Normal,0.99978477
250perm32Normal,0.99195576
251perm32Normal,0.9572909
252perm32Normal,0.997736
253perm32Normal,0.9932815
254perm32Normal,0.9454748
255perm32Normal,0.9952494
256perm32Normal,0.9380306
257perm33Normal,0.8638243
258perm33Normal,0.9995635
259perm33Normal,0.9963797
260perm33Normal,0.9697388
261perm33Normal,0.9675726
262perm33Normal,0.98279196
263perm33Normal,0.84650797
264perm33Normal,0.9978052
265perm34Normal,0.9901564
266perm34Normal,0.10058536
267perm34Normal,0.997503
268perm34Normal,0.71430707
269perm34Normal,0.97790635
270perm34Normal,0.81757796
271perm34Normal,0.88574517
272perm34Normal,0.9756621
273perm35Normal,0.8701935
274perm35Normal,0.9844712
275perm35Normal,0.9632347
276perm35Normal,0.81818086
277perm35Normal,0.992515
278perm35Normal,0.9936274
279perm35Normal,0.99339324
280perm35Normal,0.9806178
281perm36Normal,0.3670317
282perm36Normal,0.97426015
283perm36Normal,0.9166386
284perm36Normal,0.4211469
285perm36Normal,0.9994024
286perm36Normal,0.91614795
287perm36Normal,0.99929297
288perm36Normal,0.9341187
289perm37Normal,0.99401337
290perm37Normal,0.18409519
291perm37Normal,0.9815414
292perm37Normal,0.9810346
293perm37Normal,0.9928461
294perm37Normal,0.9431169
295perm37Normal,0.9985744
296perm37Normal,0.9705085
297perm38Normal,0.9891411
298perm38Normal,0.99951065
299perm38Normal,0.9851643
300perm38Normal,0.9610183
301perm38Normal,0.9929947
302perm38Normal,0.98651123
303perm38Normal,0.8251992
304perm38Normal,0.9878584
305perm39Normal,0.29771313
306perm39Normal,0.9305165
307perm39Normal,0.67678094
308perm39Normal,0.99758375
309perm39Normal,0.98993534
310perm39Normal,0.27509996
311perm39Normal,0.7813482
312perm39Normal,0.99079317
313perm40Normal,0.72409797
314perm40Normal,0.9063486
315perm40Normal,0.9995378
316perm40Normal,0.99375147
317perm40Normal,0.9854813
318perm40Normal,0.977767
319perm40Normal,0.9949763
320perm40Normal,0.751412
321perm41Normal,0.99209106
322perm41Normal,0.9969171
323perm41Normal,0.9898873
324perm41Normal,0.9993807
325perm41Normal,0.92989916
326perm41Normal,0.962397
327perm41Normal,0.9468081
328perm41Normal,0.96221626
329perm42Normal,0.99961275
330perm42Normal,0.3121128
331perm42Normal,0.1863916
332perm42Normal,0.06546377
333perm42Normal,0.9996408
334perm42Normal,0.9959286
335perm42Normal,0.9524661
336perm42Normal,0.97845197
337perm43Normal,0.43431494
338perm43Normal,0.93964064
339perm43Normal,0.060636874
340perm43Normal,0.9889081
341perm43Normal,0.9990995
342perm43Normal,0.9628
343perm43Normal,0.97458863
344perm43Normal,0.98890066
345perm44Normal,0.9995864
346perm44Normal,0.9984314
347perm44Normal,0.99922454
348perm44Normal,0.9552403
349perm44Normal,0.78657097
350perm44Normal,0.3925364
351perm44Normal,0.99262613
352perm44Normal,0.944022
353perm45Normal,0.95956254
354perm45Normal,0.9545016
355perm45Normal,0.14757901
356perm45Normal,0.99982363
357perm45Normal,0.8450843
358perm45Normal,0.9974903
359perm45Normal,0.9878561
360perm45Normal,0.97298324
361perm46Normal,0.6722957
362perm46Normal,0.9553794
363perm46Normal,0.73068
364perm46Normal,0.9947068
365perm46Normal,0.9880603
366perm46Normal,0.9566768
367perm46Normal,0.9376651
368perm46Normal,0.95615894
369perm47Normal,0.95185214
370perm47Normal,0.1587601
371perm47Normal,0.9983841
372perm47Normal,0.9938512
373perm47Normal,0.98087573
374perm47Normal,0.71059895
375perm47Normal,0.9938192
376perm47Normal,0.9948461
377perm48Normal,0.37424237
378perm48Normal,0.9865674
379perm48Normal,0.7980152
380perm48Normal,0.99780494
381perm48Normal,0.9846917
382perm48Normal,0.4101899
383perm48Normal,0.996046
384perm48Normal,0.9502564
385perm49Normal,0.004346726
386perm49Normal,0.9743747
387perm49Normal,0.99721575
388perm49Normal,0.95323604
389perm49Normal,0.81447107
390perm49Normal,0.9666137
391perm49Normal,0.985663
392perm49Normal,0.95961744
393perm50Normal,0.94351727
394perm50Normal,0.83191663
395perm50Normal,0.9990963
396perm50Normal,0.78605247
397perm50Normal,0.9648393
398perm50Normal,0.99497163
399perm50Normal,0.97735584
400perm50Normal,0.9947168
401perm51Normal,0.005448275
402perm51Normal,0.99855155
403perm51Normal,0.043849822
404perm51Normal,0.99861515
405perm51Normal,0.96598136
406perm51Normal,0.9920219
407perm51Normal,0.8888215
408perm51Normal,0.9602805
409perm52Normal,0.06396655
410perm52Normal,0.8801362
411perm52Normal,0.9986046
412perm52Normal,0.99956554
413perm52Normal,0.9978137
414perm52Normal,0.94127023
415perm52Normal,0.8960103
416perm52Normal,0.9544378
417perm53Normal,0.29860267
418perm53Normal,0.9988034
419perm53Normal,0.98199606
420perm53Normal,0.98851585
421perm53Normal,0.9948571
422perm53Normal,0.90346223
423perm53Normal,0.99598676
424perm53Normal,0.96235436
425perm54Normal,0.97982144
426perm54Normal,0.9968554
427perm54Normal,0.8862705
428perm54Normal,0.85235167
429perm54Normal,0.7745323
430perm54Normal,0.32994887
431perm54Normal,0.9990314
432perm54Normal,0.9978935
433perm55Normal,0.12760636
434perm55Normal,0.69352144
435perm55Normal,0.9785582
436perm55Normal,0.99415296
437perm55Normal,0.9873695
438perm55Normal,0.8214863
439perm55Normal,0.9609603
440perm55Normal,0.9923356
441perm56Normal,0.22495754
442perm56Normal,0.9966704
