"EGR1",6.65261827614889,3.63532216476852e-302,"UP"
"ZFP36",4.28148992079054,1.4588228552632e-298,"UP"
"AC023494.1",4.19784702443089,3.63532216476852e-302,"UP"
"CCBE1",4.0603297907157,3.63532216476852e-302,"UP"
"FOS",3.99906182111701,3.63532216476852e-302,"UP"
"BTG2",3.53278397407882,3.63532216476852e-302,"UP"
"DOK6",3.42740948959795,5.59634662273662e-269,"UP"
"NR4A1",3.15859549069574,3.63532216476852e-302,"UP"
"ZNF608",2.89226615625349,1.1189520365045e-191,"UP"
"ADAMTS6",2.47390178838792,1.55917746872562e-240,"UP"
"MTCH1",2.45912332164489,3.63532216476852e-302,"UP"
"MAP1LC3A",2.45068520083044,9.0925291476493e-164,"UP"
"EIF1B",2.16846131301496,8.3641423611167e-199,"UP"
"CRYAB",2.14496714203808,6.11407346781239e-256,"UP"
"MIR133A1HG",2.12805657121286,7.93088002430375e-297,"UP"
"SLC38A2",1.9701121139983,3.80903108023085e-219,"UP"
"CORIN",1.93329609908766,1.84270770172089e-299,"UP"
"NREP",1.89044371075607,8.65889344842898e-167,"UP"
"ACTB",1.52420108647449,3.18295302832318e-264,"UP"
"ARL15",1.38640250826837,2.04859140598951e-186,"UP"
"TOGARAM2",-4.42423284436587,3.63532216476852e-302,"DOWN"
"ANKRD2",-3.50684739473749,2.59839504166641e-155,"DOWN"
"LINC01428",-3.28042899599525,8.3332612634895e-271,"DOWN"
"UBA6-AS1",-2.46582315331664,1.70616850598519e-151,"DOWN"
"SYNDIG1",-2.07511068486638,2.53137953147133e-204,"DOWN"
"GALNT17",-1.89638038714669,3.63532216476852e-302,"DOWN"
"TNNI3",-1.85376650877742,3.63532216476852e-302,"DOWN"
"FILIP1L",-1.63750677874484,1.6095505973729e-276,"DOWN"
"MYBPC3",-1.33762790679494,3.63532216476852e-302,"DOWN"
"MYO18A",-1.25568685784836,4.3164215726698e-198,"DOWN"
"OGDH",-1.23838769742834,2.88598506828198e-197,"DOWN"
"INPP4B",-1.23728399086565,9.0956593479946e-244,"DOWN"
"INSR",-1.20376655968313,2.69059642073924e-267,"DOWN"
"ALPK3",-1.19043638999323,7.87872329792942e-169,"DOWN"
"SCN5A",-1.06217938136442,1.01544895672236e-201,"DOWN"
"OBSCN",-1.01403937865267,2.65825678488831e-293,"DOWN"
"WDR60",-0.993617172555322,7.1955334643697e-168,"DOWN"
"DST",-0.794026107835336,3.63532216476852e-302,"DOWN"
"PSD3",-0.727733262091805,1.594874966115e-192,"DOWN"
"NEBL",-0.646281034101786,3.63532216476852e-302,"DOWN"
