p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,celltype,regulation
1.6241007083504495e-165,1.31149710080083,0.649,0.333,4.8841580602223084e-161,SIPA1L2,Cardiomyocyte,UP
2.6034016520153597e-93,1.29930806091376,0.467,0.266,7.8292097881058e-89,ART3,Cardiomyocyte,UP
1.5572535230051702e-14,1.28473316093579,0.106,0.061,4.68312851973344e-10,RACK1,Cardiomyocyte,UP
3.4222040264745093e-112,1.26580645747174,0.498,0.297,1.0291594168816795e-107,PRKAR1A,Cardiomyocyte,UP
8.91440271201983e-32,1.25933742712478,0.225,0.134,2.68082832758572e-27,CD46,Cardiomyocyte,UP
3.0297143130130397e-40,1.20337939525537,0.168,0.077,9.11125985352411e-36,LPCAT4,Cardiomyocyte,UP
1.30966918948783e-39,1.20056566095588,0.225,0.117,3.9385681535467396e-35,HSF2,Cardiomyocyte,UP
2.8090737249245694e-54,1.16684381017756,0.471,0.349,8.447727412965659e-50,FGF14,Cardiomyocyte,UP
1.0145073924597798e-105,1.15509244809084,0.507,0.289,3.050928081344299e-101,ASB15,Cardiomyocyte,UP
2.2077074175099197e-60,1.12875019984774,0.254,0.123,6.6392385166776e-56,HBP1,Cardiomyocyte,UP
9.00781968324018e-12,1.08536092912081,0.172,0.124,2.70892161334082e-7,SPATA6,Cardiomyocyte,UP
2.4118138360063697e-23,1.06208614706137,0.159,0.086,7.253047749021969e-19,HSD17B12,Cardiomyocyte,UP
1.93602169190774e-39,1.05879584002871,0.265,0.152,5.82219803407415e-35,WDFY2,Cardiomyocyte,UP
4.0441337980849595e-31,1.04976770230201,0.374,0.274,1.21619235709809e-26,PTEN,Cardiomyocyte,UP
6.947490484019219e-66,1.04442729020521,0.622,0.505,2.0893188132590997e-61,RORA,Cardiomyocyte,UP
6.281893734428239e-68,1.01981257788232,0.456,0.299,1.8891539027545995e-63,DSTN,Cardiomyocyte,UP
1.7674743004497796e-119,0.95370275003683,0.716,0.495,5.315325463742629e-115,PIK3R1,Cardiomyocyte,UP
1.84147779656202e-61,0.876305653264853,0.634,0.512,5.53787617760096e-57,GAREM1,Cardiomyocyte,UP
1.1022224871755397e-60,0.869991290894709,0.611,0.498,3.3147136856829893e-56,DPYD,Cardiomyocyte,UP
1.5980563247675198e-44,0.84881003929233,0.488,0.352,4.805834785473359e-40,CAPN7,Cardiomyocyte,UP
5.43665086788161e-35,0.845020299498351,0.342,0.228,1.6349640154980398e-30,ANKRD36,Cardiomyocyte,UP
2.3876242848180596e-71,0.827403107010643,0.659,0.523,7.180302511733359e-67,OSBPL9,Cardiomyocyte,UP
2.93915905133086e-13,0.781389808743173,0.236,0.173,8.83893301506729e-9,METAP1,Cardiomyocyte,UP
1.70447573458876e-21,0.736682064358087,0.359,0.265,5.12586987662878e-17,YTHDC1,Cardiomyocyte,UP
1.1860292840241097e-51,0.733138145776652,0.617,0.51,3.5667458658457e-47,CSGALNACT1,Cardiomyocyte,UP
7.560446718004529e-130,0.720484919102102,0.897,0.866,2.2736531415054995e-125,RBFOX1,Cardiomyocyte,UP
5.4043933388859496e-55,0.539962055941454,0.738,0.603,1.6252632088031698e-50,UBR3,Cardiomyocyte,UP
1.3810443840165799e-19,-0.504865909757965,0.56,0.605,4.15321477605307e-15,SCAF11,Cardiomyocyte,DOWN
3.097585075100599e-72,-0.559791001961897,0.592,0.766,9.315367596350028e-68,CHCHD3,Cardiomyocyte,DOWN
0,-0.646281034101786,0.952,0.991,0,NEBL,Cardiomyocyte,DOWN
7.438644720814478e-155,-0.696560705879397,0.758,0.925,2.2370236268905395e-150,DPF3,Cardiomyocyte,DOWN
5.303345080686988e-197,-0.727733262091805,0.9,0.955,1.5948749661149994e-192,PSD3,Cardiomyocyte,DOWN
1.7805007948686396e-57,-0.767378683463611,0.312,0.482,5.35450004040845e-53,BSG,Cardiomyocyte,DOWN
0,-0.794026107835336,0.97,0.996,0,DST,Cardiomyocyte,DOWN
1.55721271266616e-45,-0.813845968167344,0.469,0.572,4.683005790800949e-41,ST3GAL6,Cardiomyocyte,DOWN
1.12245655541498e-36,-0.821770602069352,0.354,0.472,3.37556359909947e-32,PDE10A,Cardiomyocyte,DOWN
8.74569154230945e-23,-0.82465124849247,0.317,0.393,2.63009181751872e-18,TMEM38B,Cardiomyocyte,DOWN
7.013493600459951e-46,-0.835508373446743,0.216,0.38,2.1091679304663199e-41,DDX10,Cardiomyocyte,DOWN
4.736459853367188e-100,-0.851806295797767,0.636,0.761,1.4243955717031197e-95,SLC1A3,Cardiomyocyte,DOWN
1.7367780873337795e-97,-0.865119676689492,0.373,0.617,5.223012742038879e-93,COMMD1,Cardiomyocyte,DOWN
2.0343465386998996e-63,-0.872021980861391,0.25,0.434,6.117890345832219e-59,BACH1,Cardiomyocyte,DOWN
4.8363245948272396e-48,-0.877350241028029,0.471,0.572,1.4544278954023896e-43,DDX5,Cardiomyocyte,DOWN
8.863998965311559e-34,-0.911322636597861,0.432,0.519,2.66567040883815e-29,VIPR2,Cardiomyocyte,DOWN
7.848549128260798e-107,-0.946808975719146,0.656,0.762,2.3602941793418697e-102,CPED1,Cardiomyocyte,DOWN
1.9854503800427197e-66,-0.956614476144283,0.233,0.42,5.970844927902479e-62,MACROD1,Cardiomyocyte,DOWN
1.9390406203088596e-62,-0.970222270612724,0.532,0.642,5.831276857454839e-58,SLC38A1,Cardiomyocyte,DOWN
8.01654640802882e-16,-0.978481278446279,0.169,0.245,2.4108160012865097e-11,SYNPO,Cardiomyocyte,DOWN
1.87204020240166e-36,-0.988789943465428,0.305,0.425,5.62978650068252e-32,NNT-AS1,Cardiomyocyte,DOWN
2.3926889450236793e-172,-0.993617172555322,0.518,0.8,7.195533464369698e-168,WDR60,Cardiomyocyte,DOWN
2.9195590846739495e-43,-1.00402341228697,0.206,0.358,8.77999003533998e-39,GRAMD4,Cardiomyocyte,DOWN
8.839346872225005e-298,-1.01403937865267,0.734,0.919,2.658256784888309e-293,OBSCN,Cardiomyocyte,DOWN
6.927729943552709e-59,-1.02434536033703,0.406,0.541,2.0833762259246095e-54,ARIH2,Cardiomyocyte,DOWN
5.37409304410575e-29,-1.0302874256348,0.096,0.2,1.61615100115392e-24,NACC2,Cardiomyocyte,DOWN
3.3766134297288584e-206,-1.06217938136442,0.545,0.834,1.0154489567223595e-201,SCN5A,Cardiomyocyte,DOWN
5.092570458449649e-137,-1.07087861850625,0.438,0.698,1.5314887139695594e-132,ZNF106,Cardiomyocyte,DOWN
4.65239001790723e-24,-1.11054620322461,0.184,0.282,1.39911325008524e-19,GALNT18,Cardiomyocyte,DOWN
2.31056561406027e-30,-1.11296696296789,0.189,0.296,6.94856397116345e-26,ATXN7L1,Cardiomyocyte,DOWN
1.6346853902590898e-50,-1.11780957699833,0.148,0.301,4.9159893741261605e-46,RCAN1,Cardiomyocyte,DOWN
6.11636574251174e-22,-1.12891303023711,0.065,0.135,1.83937466974556e-17,CCDC40,Cardiomyocyte,DOWN
1.45452979232173e-44,-1.14215900552101,0.126,0.261,4.3742074444491295e-40,AHDC1,Cardiomyocyte,DOWN
1.2911146299468197e-106,-1.18126592099914,0.302,0.553,3.8827690266390595e-102,SHROOM3,Cardiomyocyte,DOWN
6.342929529679429e-60,-1.18138400018418,0.219,0.386,1.9075091974604995e-55,MXRA7,Cardiomyocyte,DOWN
7.520321115502818e-125,-1.18211053091027,0.286,0.559,2.261586169065159e-120,PPP1R13L,Cardiomyocyte,DOWN
2.619866091819709e-173,-1.19043638999323,0.605,0.784,7.878723297929418e-169,ALPK3,Cardiomyocyte,DOWN
5.330836934382439e-75,-1.19178522434038,0.201,0.413,1.6031425912768295e-70,DUSP27,Cardiomyocyte,DOWN
8.946883984767866e-272,-1.20376655968313,0.576,0.869,2.690596420739238e-267,INSR,Cardiomyocyte,DOWN
1.2393052926997e-12,-1.2048883450483,0.056,0.108,3.72696280673582e-8,SLC15A4,Cardiomyocyte,DOWN
3.0245267675305383e-248,-1.23728399086565,0.658,0.858,9.095659347994595e-244,INPP4B,Cardiomyocyte,DOWN
9.596598504578795e-202,-1.23838769742834,0.422,0.747,2.885985068281979e-197,OGDH,Cardiomyocyte,DOWN
3.5011861342025495e-96,-1.24101689699604,0.224,0.46,1.0529117061387297e-91,SPG11,Cardiomyocyte,DOWN
1.4353145920492794e-202,-1.25568685784836,0.404,0.724,4.316421572669798e-198,MYO18A,Cardiomyocyte,DOWN
2.18434373768756e-21,-1.25730899052057,0.091,0.174,6.56897692234781e-17,BCAR1,Cardiomyocyte,DOWN
0,-1.33762790679494,0.886,0.991,0,MYBPC3,Cardiomyocyte,DOWN
9.195333017465038e-166,-1.39389518594654,0.304,0.6,2.765312498342259e-161,GREB1L,Cardiomyocyte,DOWN
2.25740010488903e-17,-1.40062790421033,0.077,0.147,6.78867933543277e-13,MET,Cardiomyocyte,DOWN
1.07532257289285e-39,-1.41428448772043,0.132,0.256,3.23381757346068e-35,BCL2,Cardiomyocyte,DOWN
3.3154073485648296e-20,-1.41683865885876,0.076,0.147,9.970424519339e-16,CES2,Cardiomyocyte,DOWN
1.1865563763301399e-33,-1.45234895147049,0.123,0.241,3.56833099053762e-29,MASP1,Cardiomyocyte,DOWN
3.143143397020859e-91,-1.49318274384528,0.282,0.493,9.452375137860818e-87,PCNX4,Cardiomyocyte,DOWN
2.4052411410457896e-19,-1.56035410341367,0.062,0.133,7.233281683467011e-15,SRSF6,Cardiomyocyte,DOWN
1.1314889524857298e-25,-1.56163020787855,0.065,0.152,3.4027267268103504e-21,URB1,Cardiomyocyte,DOWN
1.1718862796254697e-73,-1.57430493596096,0.117,0.311,3.5242136087176695e-69,SLC2A12,Cardiomyocyte,DOWN
5.352145104821256e-281,-1.63750677874484,0.463,0.79,1.6095505973728988e-276,FILIP1L,Cardiomyocyte,DOWN
6.978068115155769e-58,-1.65549027882698,0.131,0.302,2.0985144242707996e-53,C10orf71,Cardiomyocyte,DOWN
5.10313099011252e-26,-1.70952921425645,0.063,0.151,1.53466458265654e-21,SH2B3,Cardiomyocyte,DOWN
1.5570511646542796e-60,-1.7284637364914,0.063,0.205,4.6825199674648e-56,SLC25A20,Cardiomyocyte,DOWN
6.250037896728739e-74,-1.74421101459694,0.061,0.229,1.8795738966832396e-69,RRP12,Cardiomyocyte,DOWN
7.217734195862409e-56,-1.74881583159099,0.085,0.23,2.1705892047216996e-51,FLG-AS1,Cardiomyocyte,DOWN
4.0153105815988594e-78,-1.76826709789688,0.097,0.294,1.2075243512042197e-73,LINC01004,Cardiomyocyte,DOWN
0,-1.85376650877742,0.55,0.954,0,TNNI3,Cardiomyocyte,DOWN
5.0591140459236986e-107,-1.86386807607202,0.103,0.324,1.5214273670306297e-102,FAM107A,Cardiomyocyte,DOWN
5.158024120287718e-107,-1.86943564987673,0.237,0.477,1.5511725936941197e-102,NMRK2,Cardiomyocyte,DOWN
1.47418413360679e-38,-1.87640900394933,0.074,0.192,4.43331394499569e-34,PVR,Cardiomyocyte,DOWN
0,-1.89638038714669,0.486,0.923,0,GALNT17,Cardiomyocyte,DOWN
7.281377131797979e-66,-1.89685280447328,0.116,0.295,2.1897285448455995e-61,CPT1B,Cardiomyocyte,DOWN
4.406812172896999e-123,-1.91369121020263,0.143,0.42,1.3252606247553095e-118,TMEM120B,Cardiomyocyte,DOWN
2.7066841418310696e-44,-1.99059853200952,0.065,0.191,8.13981121972857e-40,SYNPO2L,Cardiomyocyte,DOWN
8.417449311579595e-209,-2.07511068486638,0.312,0.628,2.5313795314713288e-204,SYNDIG1,Cardiomyocyte,DOWN
2.4319206962101193e-77,-2.46566160926954,0.046,0.226,7.313515109712698e-73,KCNAB2,Cardiomyocyte,DOWN
5.673423023925738e-156,-2.46582315331664,0.084,0.395,1.7061685059851895e-151,UBA6-AS1,Cardiomyocyte,DOWN
6.946032135754209e-105,-2.48598743355199,0.048,0.276,2.0888802441853593e-100,KIF26B,Cardiomyocyte,DOWN
2.9003573037349396e-51,-2.7527872909612,0.037,0.152,8.722244519522091e-47,RMRP,Cardiomyocyte,DOWN
3.1474357700663098e-65,-3.0815879518154,0.024,0.157,9.465283591320408e-61,HS6ST3,Cardiomyocyte,DOWN
2.771010961157678e-275,-3.28042899599525,0.071,0.468,8.333261263489497e-271,LINC01428,Cardiomyocyte,DOWN
8.640292094790727e-160,-3.50684739473749,0.048,0.325,2.598395041666409e-155,ANKRD2,Cardiomyocyte,DOWN
6.712110137033689e-59,-3.6247891534423,0.017,0.147,2.0185328815101396e-54,SLC35F1,Cardiomyocyte,DOWN
0,-4.42423284436587,0.055,0.685,0,TOGARAM2,Cardiomyocyte,DOWN
