,Signature N1,Signature N2,Signature N3,Signature N4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS92
5919_C4,0.03576987,0.0,0.0,0.0,0.19300406,0.0,0.0,0.0,0.0,0.0,0.016049216,0.0120228315,0.0,0.0,0.0,0.016944759,0.0,0.0,0.0,0.010716676,0.0,0.012337457,0.0,0.0,0.0,0.0,0.010714612,0.0,0.0,0.0,0.0,0.0,0.0,0.014280339,0.029664028,0.0,0.0,0.0,0.0,0.0,0.0,0.012098122,0.0,0.0,0.48516008,0.0,0.0,0.0,0.02521894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5919_D2,0.0281912,0.0,0.0,0.0,0.22161222,0.0,0.0,0.0,0.0,0.0,0.18362415,0.0,0.0,0.0,0.0,0.025647854,0.0,0.0,0.0,0.019270495,0.0,0.0,0.01772192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042667698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37972653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5919_E3,0.034462314,0.0,0.0,0.0,0.13416597,0.0,0.0,0.0,0.0,0.0,0.0,0.014435587,0.0,0.0,0.0,0.014251382,0.0,0.0,0.0,0.0,0.0112091405,0.014242842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012172158,0.034466002,0.0,0.0,0.0,0.0,0.0,0.0,0.016303815,0.0,0.0,0.5542527,0.0,0.0,0.0,0.039909884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5919_F6,0.037588917,0.0,0.0,0.0,0.20549713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015174298,0.0,0.0,0.0,0.0,0.0,0.0,0.038429603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01815797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60092413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5828_C2,0.026957862,0.0,0.0,0.0,0.07677283,0.011297283,0.015892653,0.0,0.0,0.0,0.0,0.010222765,0.0,0.0,0.0,0.0129229,0.0,0.0,0.0,0.0,0.011587385,0.0152207995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013567121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7025736,0.0,0.0,0.0,0.012250927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5828_G2,0.027795432,0.0,0.0,0.0,0.3672004,0.0,0.0,0.0,0.0,0.0,0.0884969,0.0,0.0,0.0,0.0,0.031363953,0.0,0.0,0.0,0.02090316,0.0,0.0,0.010665394,0.0,0.0,0.0,0.018243697,0.0,0.0,0.0,0.0,0.0,0.0,0.040250525,0.019858181,0.0,0.012178325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2504822,0.0,0.0,0.0,0.021457858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5657_D1,0.028122729,0.0,0.0,0.0,0.15138271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021058276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7235686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5657_H1,0.07376361,0.0,0.0,0.0,0.53875905,0.0,0.0,0.0,0.0,0.0,0.012391366,0.0,0.0,0.0,0.0,0.020620674,0.0,0.0,0.0,0.0,0.0,0.010280837,0.09753638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030496757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12939009,0.0,0.0,0.0,0.022847107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1363_A4,0.0,0.0,0.014468756,0.025229331,0.021507608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029427405,0.0,0.0,0.03784845,0.053834643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03271399,0.16874787,0.0,0.2630164,0.0,0.0,0.0,0.0,0.0,0.0,0.05337921,0.07215717,0.0,0.0,0.0,0.087953486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032918096,0.102118924
1363_D4,0.030671407,0.0,0.0,0.0,0.0,0.0,0.0,0.08455572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098365076,0.0,0.0,0.031787768,0.0,0.0,0.0,0.0,0.0,0.0,0.045142964,0.17640254,0.0,0.16091293,0.0,0.0,0.0,0.010586016,0.0,0.0,0.0,0.2284649,0.0,0.0,0.0,0.069774926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06250196
