chrom	AVG_normBinCnt	STD_normBinCnt	IQR_normBinCnt	Q25	Q75	binFrac_0.1	outlierBinCnt_total	outlierBinCnt_upper	outlierBinCnt_lower	Gini	CoV
1	54.9233414640696	63.1896338414313	29.783069186512	32.9977195873723	62.7807887738842	0	140	140	0	0.306994136472354	1.15050599903448
2	56.8711878120244	183.937147652495	28.3593955594801	32.8955350699691	61.2549306294492	0	175	175	0	0.33619191521165	3.2342765243529
3	36.9493635974046	35.2685295092616	29.3123350734677	19.2811257027525	48.5934607762202	0	88	88	0	0.343057935817891	0.954509795988446
4	8.46050000977708	16.6548990719618	12.3945352174427	0.124229615562342	12.518764833005	0.196560924992588	270	270	0	0.767672012549042	1.96854784619292
5	60.4025997966971	427.015716782994	28.6107403990672	33.0263314831006	61.6370718821678	0	116	116	0	0.379980353708125	7.06949234337996
6	54.2748146142197	290.550687782176	31.1911099355051	28.4976564993187	59.6887664348237	0	88	88	0	0.397076887810733	5.35332437056456
7	57.0086118643315	92.3386945336734	29.472591313986	33.9023764715945	63.3749677855805	0	113	113	0	0.325179194547869	1.61973237926614
8	26.0898524043647	26.6349204254994	16.7043031251873	13.9326642555901	30.6369673807774	0	153	153	0	0.358459101360046	1.02089195495194
9	53.5182077930372	262.539045526053	35.4738478979738	19.532945995252	55.0067938932258	0.0264900662251656	70	70	0	0.550150756915882	4.90560234268924
10	55.4237831345506	100.164303630158	30.2470953775389	32.2831355498696	62.5302309274086	0	82	82	0	0.319624221108401	1.80724407402852
11	33.9548669099723	207.339130854764	19.8776757874916	14.8621666504007	34.7398424378923	0	111	111	0	0.461107581892763	6.10631552185145
12	54.7368509262451	117.249707707583	28.6434202561677	32.3492992175978	60.9927194737655	0	96	96	0	0.325382139966736	2.14206162253598
13	49.4878198689755	52.3176765186536	26.1738871400249	31.816171393695	57.9900585337199	0	65	65	0	0.274219151562706	1.05718289181399
14	73.1724423058254	615.458168141216	28.6528144639438	34.0878930305635	62.7407074945073	0	53	53	0	0.475493486884496	8.41106499587507
15	20.0486200464536	42.0905596983237	26.2891240268694	0.272967494702717	26.5620915215721	0.0882778581765557	67	67	0	0.678943961874082	2.09942427961615
16	60.7781140926985	154.767043200954	30.750560249154	32.4648531224475	63.2154133716015	0	74	74	0	0.379164112828698	2.54642720511044
17	47.6613951877764	52.7688424003987	29.7223383009713	27.4067107248679	57.1290490258392	0.0007627765064836	47	47	0	0.347187681920159	1.10716109321811
18	51.4979478953207	27.8429757811277	28.8310170716311	33.668135155118	62.4991522267491	0	45	45	0	0.252567860674441	0.540661850016312
19	58.818308656183	126.605489625598	29.8926225335265	29.6217642852353	59.5143868187618	0	51	51	0	0.415226989599078	2.15248436274594
20	48.2702590412676	37.6932354245168	27.9574690803524	29.1664530301528	57.1239221105052	0	47	47	0	0.298042750949884	0.780879079026523
21	48.0271085013527	81.2535360314959	28.3416706109828	17.892628763987	46.2342993749698	0	51	51	0	0.50258426982412	1.69182652395589
22	70.2274259446076	439.147712196334	31.0741602935954	26.1157534299948	57.1899137235902	0	33	33	0	0.557974098519629	6.2532223883973
X	30.7468470626674	51.1458242033929	19.5162137296593	16.7572924998522	36.2735062295115	0	149	149	0	0.349759719932318	1.66344939691374
Y	13.4515574772381	165.508638162262	1.10659342040428	0.250088721139118	1.3566821415434	0.0848214285714286	34	34	0	0.957505637145374	12.304050177262
Total	46.5070865391264	205.11559857358	31.4528902541491	23.0120924292582	54.4649826834073	0.01714	1664	1664	0	0.42957505689838	4.41041599974267
