chrom	MAPD	AVG_APD	STD_APD	IQR_APD
1	0.473467257454797	0.662142516411892	0.666610127810345	0.695091417033747
2	0.452020213479972	0.636048270619787	0.670979401593065	0.651979081676946
3	0.478335779273756	0.636044152308457	0.602109716087239	0.655023596508429
4	0.447325200299363	0.605636614749759	0.558762645385015	0.645685940424326
5	0.45273815618205	0.596853027802649	0.553836020232486	0.621339723576609
6	0.470183516527599	0.634638266603392	0.659931095559821	0.624515140328771
7	0.475048637178774	0.675129349833916	0.684662742197831	0.683509844078988
8	0.454694729113342	0.622902597950428	0.590946168353549	0.630353388415748
9	0.479407971334259	0.682279422239811	0.70684440981753	0.690943813940768
10	0.473977873153725	0.67377807858826	0.731291989288502	0.722002514942363
11	0.461740427612922	0.633239500957425	0.612524816312227	0.668966143276902
12	0.453851471905037	0.641794379493063	0.648571704898043	0.680882211594867
13	0.442097374887697	0.636761426871949	0.644123371117102	0.648555333282159
14	0.457312124554587	0.638624740610913	0.650006719483512	0.668681421462171
15	0.430980332185965	0.608276950226917	0.609684479905369	0.649184040745701
16	0.533947168818499	0.757393138769325	0.806645080810636	0.796833560376585
17	0.505867905957424	0.698615536464305	0.713500440853458	0.677416752048472
18	0.450051767282839	0.626844458522581	0.62794601937701	0.656790621994663
19	0.560335762492789	0.803608314344386	0.876446973474327	0.824591564488842
20	0.470296251763667	0.662396116040969	0.641684037919427	0.74987791118514
21	0.43630645757807	0.679095154040263	0.728490211910512	0.70245014528242
22	0.601855455964789	0.880406495922133	0.973957690708517	0.894346029223519
X	0.496859612952821	0.653171504904965	0.600808069110172	0.70239981107262
Y	1.17909144326782	1.49254749824754	1.63156211019169	1.40276935927524
Total	0.470605414447012	0.654723784163238	0.667464927729379	0.675218151709581
