chrom	MAPD	AVG_APD	STD_APD	IQR_APD
1	0.278885276168435	0.354503903588427	0.320135942909241	0.348166968196992
2	0.276253889923824	0.355005970193526	0.364602356194624	0.354426843177265
3	0.270927986620671	0.339966349637502	0.277822267278769	0.353249887742349
4	0.276133418410892	0.345120405081556	0.308068709238484	0.364424619403416
5	0.286855767150938	0.370382671074487	0.341912348701174	0.379979499355606
6	0.255034859549878	0.313625628536592	0.26242276189241	0.32418061890964
7	0.271980871391686	0.354334752692634	0.331202131621442	0.359932982653143
8	0.281788850097599	0.351458437382281	0.327306336547425	0.352574493784791
9	0.274555828416431	0.358721913315053	0.320094281615052	0.374807954558981
10	0.255444774144207	0.332980062055849	0.301517822512119	0.337272544985663
11	0.301536278135575	0.370611393376976	0.313464560330632	0.373732967577895
12	0.294098514599698	0.357732358055321	0.28780304895687	0.372822135609775
13	0.275266688849972	0.339828869608453	0.284874542900322	0.351329174530793
14	0.289737929950137	0.358199073936034	0.328643176906045	0.348606471220118
15	0.272954459167789	0.372001043607199	0.376736036329453	0.360466510027855
16	0.290083931505978	0.401690279048269	0.432625152891337	0.40894913714767
17	0.292266881498979	0.38629772290592	0.347432070342898	0.388268060304751
18	0.279049908191074	0.354098242763708	0.30301404228485	0.373591191384492
19	0.323331017870567	0.430918073566907	0.398981636213025	0.447031665688628
20	0.282170986481869	0.349493852702615	0.283458557002805	0.377044416823182
21	0.266231864159566	0.330737121307537	0.298874536861122	0.335487752196099
22	0.36363871020732	0.489181187548441	0.484896521245105	0.464541294663069
X	0.280122717411837	0.371684256526965	0.367897073755801	0.375652771958789
Y	0.36075550105007	0.701752427454612	1.69447301963071	0.464811487418461
Total	0.279799657280038	0.358883168059322	0.348132922777335	0.363928219851168
