"","x"
"313","KSR2"
"314","MIPEP"
"315","C1QTNF9"
"316","LINC00383"
"317","OBI1-AS1"
"318","OBI1-AS1"
"319","GPC5"
"320","GPR137C"
"321","KCNH5"
"322","TECPR2"
"323","RORA"
"324","STRA6"
"325","HOMER2"
"326","PARN"
"327","EEF2K"
"328","PHKB"
"329","TANGO6"
"330","WWOX"
"331","LOC102724084"
"332","CHD3"
"333","MMP28"
"334","NPEPPSP1"
"335","MED13"
"336","PRKCA"
"337","ABCA10"
"338","SDK2"
"339","B3GNTL1"
"340","DLGAP1-AS4"
"341","LINC01541"
"342","SHANK1"
"343","TTYH1"
"344","ATRN"
"345","MACROD2"
"346","RBBP9"
"347","SAMSN1"
"348","DOP1B"
"349","CBX6"
"350","TBC1D22A"
"351","PRDM16"
"352","EPHA8"
"353","LINC00466"
"354","PIGK"
"355","TBX15"
"356","CGN"
"357","PTPRC"
"358","PTPN14"
"359","TSNAX-DISC1"
"360","RYR2"
"361","RBKS"
"362","LTBP1"
"363","NRXN1"
"364","REG3G"
"365","DPP10"
"366","CNTNAP5"
"367","LRP1B"
"368","TEX41"
"369","FMNL2"
"370","TANC1"
"371","DNAJC10"
"372","LOC101927960"
"373","ERBB4"
"374","SPAG16"
"375","SPHKAP"
"376","SRGAP3"
"377","P4HTM"
"378","DOCK3"
"379","SFMBT1"
"380","CACNA2D3"
"381","FHIT"
"382","FHIT"
"383","PTPRG-AS1"
"384","EEFSEC"
"385","CLSTN2"
"386","GK5"
"387","NLGN1"
"388","NAALADL2"
"389","JAKMIP1"
"390","LINC01182"
"391","KCNIP4"
"392","LINC02271"
"393","UGT2B17"
"394","PPEF2"
"395","UNC5C"
"396","ADAD1"
"397","GAB1"
"398","GYPA"
"399","IQCM"
"400","CTNND2"
"401","CDH12"
"402","C5orf17"
"403","C5orf17"
"404","UGT3A2"
"405","MROH2B"
"406","PDE4D"
"407","RASGRF2"
"408","ATG10"
"409","LOC101927078"
"410","GRAMD2B"
"411","LMNB1-DT"
"412","SPOCK1"
"413","DPYSL3"
"414","LINC01622"
"415","ATXN1"
"416","PKHD1"
"417","EYS"
"418","SAMD3"
"419","NXPH1"
"420","DGKB"
"421","GSDME"
"422","SKAP2"
"423","PDE1C"
"424","CACNA2D1"
"425","ANKIB1"
"426","CDK6"
"427","VPS50"
"428","LHFPL3"
"429","TES"
"430","KCND2"
"431","PRKAG2"
"432","VIPR2"
"433","CSMD1"
"434","CSMD1"
"435","XKR6"
"436","CSGALNACT1"
"437","DOCK5"
"438","SCARA5"
"439","PLEKHA2"
"440","ADAM2"
"441","NKAIN3"
"442","SULF1"
"443","EYA1"
"444","LINC01111"
"445","CSMD3"
"446","KCNQ3"
"447","TRAPPC9"
"448","MIR31HG"
"449","LINGO2"
"450","ASTN2"
"451","BRINP1"
"452","HSPA5"
"453","ADARB2"
"454","CAMK1D"
"455","MYO3A"
"456","FAM238B"
"457","PCDH15"
"458","PCDH15"
"459","PCDH15"
"460","ZSWIM8"
"461","CPXM2"
"462","HSD17B12"
"463","DISC1FP1"
"464","ARHGAP20"
"465","SLC37A2"
"466","NTM"
"467","C12orf4"
"468","CD9"
"469","GRIN2B"
"470","CCDC38"
"471","LOC100287944"
"472","TMEM132D"
"473","LINC00437"
"474","FREM2"
"475","OBI1-AS1"
"476","GPC5"
"477","HS6ST3"
"478","ITGBL1"
"479","FGF14-IT1"
"480","ARHGEF40"
"481","MIR4307HG"
"482","KCNH5"
"483","TTC7B"
"484","SERPINA12"
"485","GABRA5"
"486","GABRG3"
"487","MEIS2"
"488","DENND4A"
"489","ST8SIA2"
"490","RAB11FIP3"
"491","LMF1"
"492","TAOK2"
"493","LINC00922"
"494","AURKB"
"495","ASIC2"
"496","ASXL3"
"497","MIR924HG"
"498","CFAP53"
"499","MAPK4"
"500","ZNF700"
"501","TOX2"
"502","RIMS4"
"503","MIR646HG"
"504","CDH4"
"505","CHODL"
"506","LINC00320"
"507","LINC01697"
"508","SEZ6L"
"509","MTHFR"
"510","FHAD1"
"511","NEGR1"
"512","SYDE2"
"513","SYCP1"
"514","SLAMF6"
"515","IPO9-AS1"
"516","GALNT14"
"517","LINC01317"
"518","DGUOK"
"519","LRRTM4"
"520","CTNNA2"
"521","AFF3"
"522","MERTK"
"523","TEX51"
"524","DOCK3"
"525","TMEM108"
"526","EPHB1"
"527","CPB1"
"528","PDLIM5"
"529","TACR3"
"530","TBCK"
"531","IQCM"
"532","RXFP1"
"533","TLL1"
"534","SPOCK3"
"535","CDH18"
"536","LINC02211"
"537","LINC02211"
"538","LINC01846"
"539","LINC02147"
"540","TCOF1"
"541","KCNIP1"
"542","KCNIP1"
"543","F13A1"
"544","LINC00518"
"545","SLC17A2"
"546","EYS"
"547","MEI4"
"548","L3MBTL3"
"549","CREB5"
"550","GALNT17"
"551","CACNA2D1"
"552","PCLO"
"553","GPR37"
"554","PTPRN2"
"555","XKR6"
"556","SGCZ"
"557","UNC5D"
"558","LINC02155"
"559","CSMD3"
"560","FRMPD1"
"561","PIP5K1B"
"562","GCNT1"
"563","VPS13A"
"564","MUSK"
"565","TNC"
"566","ADARB2"
"567","MALRD1"
"568","LINC00993"
"569","UNC5B"
"570","DLG5"
"571","TACC2"
"572","STIM1"
"573","MMP26"
"574","LMO1"
"575","EIF4G2"
"576","C11orf49"
"577","FADS2"
"578","DLG2"
"579","NOX4"
"580","TMPRSS4"
"581","FOXR1"
"582","ARHGEF12"
"583","GRIK4"
"584","KIRREL3"
"585","LINC02402"
"586","RIC8B"
"587","RPH3A"
"588","TMEM132D"
"589","ANKRD20A9P"
"590","STARD13"
"591","KLHL1"
"592","DIS3"
"593","LMO7DN"
"594","MYO16"
"595","LINC02588"
"596","MIPOL1"
"597","NRXN3"
"598","MARK3"
"599","TDRD9"
"600","SNHG14"
"601","STRCP1"
"602","FBN1"
"603","UNC13C"
"604","APH1B"
"605","METTL22"
"606","HS3ST4"
"607","CHD9"
"608","LINC01572"
"609","ADAMTS18"
"610","USP10"
"611","CEP112"
"612","KIAA1328"
"613","ZNF43"
"614","KLK6"
"615","VPS16"
"616","MACROD2"
"617","GUSBP11"
"618","PIK3CD"
"619","MYOM3"
