chrom	MAPD	AVG_APD	STD_APD	IQR_APD
1	0.262449397144997	0.399491632924067	0.538346753868686	0.345663138929526
2	0.257501969989405	0.407489570459757	0.584077284084257	0.352223359035425
3	0.243510683787815	0.321048028200748	0.363450415014357	0.310961725685419
4	0.251725698971436	0.352884017523797	0.460406263014398	0.327636563225392
5	0.250403860702074	0.355531977788783	0.437861122704643	0.345060765121671
6	0.255065285164684	0.35845815178881	0.443063222380927	0.339241947304246
7	0.270273729171709	0.421400915661574	0.560813167471639	0.360966113356636
8	0.251140661190953	0.38555647284512	0.529525187818723	0.347064295508362
9	0.273353733544972	0.442196929939117	0.652033627412393	0.368288979915913
10	0.281063158683716	0.413095062832563	0.540909307434919	0.35561107499697
11	0.264515378096496	0.394421699604585	0.528802536149971	0.355373781996045
12	0.265619387116131	0.388801722538043	0.519760854333356	0.348361652892247
13	0.242681152967432	0.366378183316912	0.543578091093795	0.314183524750119
14	0.252437137076813	0.376364483157477	0.543654570649446	0.326614857202836
15	0.243160861051265	0.366777842068589	0.446384222435616	0.352517632296513
16	0.293493762001056	0.531922585008759	0.73261672284132	0.436958781357075
17	0.260834634646288	0.443755034015772	0.686781031222986	0.358883081553863
18	0.248359839203069	0.347563857246615	0.401544631498591	0.317797887642734
19	0.33629127351593	0.594691685356013	0.857935847850455	0.490954874704604
20	0.294086328661935	0.460975187981171	0.58761132979101	0.401422896229089
21	0.276503619553998	0.55513819403081	0.852344949404076	0.435983293252157
22	0.310375736163943	0.681847022911331	1.0807113190755	0.544681141067765
X	0.310452269436861	0.434252768116334	0.494346407669855	0.408911633037667
Y	0.35922616312793	0.807973022804425	1.73994203423878	0.659564716169582
Total	0.264359830164882	0.402832337810585	0.56216163623915	0.354263940255354
