chrom	MAPD	AVG_APD	STD_APD	IQR_APD
1	0.244900235993165	0.318828612350662	0.313582256746256	0.305075856456064
2	0.239871061133137	0.309736088706375	0.325863720761172	0.306237715395014
3	0.225371327851068	0.280709504089686	0.241894984896282	0.27785295725382
4	0.244410918893406	0.312045403401341	0.28657695885193	0.319580891915564
5	0.221072257151214	0.288244859446737	0.295842036237582	0.290750813887755
6	0.21767874996409	0.281575520074545	0.266178448770307	0.289726628794591
7	0.241296880141559	0.328405483103976	0.338043876260418	0.319282183158287
8	0.243158533023638	0.316830525613723	0.325465315314578	0.323422049885939
9	0.221450793861624	0.297266188830658	0.306278812596786	0.285918734432825
10	0.233204995340698	0.309691337813343	0.318347318010987	0.311494704184629
11	0.223081354744386	0.292157740708731	0.291075337329865	0.296507045493411
12	0.21989444169874	0.276653848930813	0.23925164190306	0.276151228785833
13	0.241956018722963	0.300461714947227	0.266489132254239	0.304484614574656
14	0.238471029963423	0.306774156355963	0.309000543720274	0.305052714863761
15	0.252788132709393	0.330115929407108	0.323606258735116	0.330496258826713
16	0.253113790624837	0.364085653531742	0.449418896313354	0.326489704084257
17	0.249160067532446	0.332828642570826	0.331092521320402	0.332837239203981
18	0.220077737220767	0.277043468722358	0.234226011256392	0.293922620921698
19	0.275708531170265	0.373340216310501	0.370478179340117	0.357459051133921
20	0.241660837273446	0.308070894760114	0.25648789802659	0.308267071608263
21	0.268762759337337	0.334070809204871	0.316176477554775	0.305455063395319
22	0.268245434050128	0.401798198415565	0.504935716336271	0.356616797194765
X	0.28067682976953	0.381867115850215	0.398227629288547	0.372506746506051
Y	0.281471047908735	0.63273433237142	1.78494582535087	0.424063374536664
Total	0.237713888225295	0.313339794060459	0.335887490239711	0.309490449710802
