chrom	MAPD	AVG_APD	STD_APD	IQR_APD
1	0.277674581137048	0.36266163903142	0.362272606636936	0.355119562738469
2	0.270254280846232	0.361570608815857	0.375983619280827	0.350604750001068
3	0.267013837614991	0.334334268117405	0.283463424264223	0.346544490172983
4	0.264424645323887	0.339455240212181	0.307682323985383	0.343003234798334
5	0.265126907039729	0.330525063860949	0.318484269054657	0.331003618006737
6	0.263580687318278	0.330147479195428	0.309579001795072	0.323260443303741
7	0.289201193387005	0.375646247254585	0.366613696896785	0.356621252400864
8	0.277633593900606	0.354289186602811	0.351273025407191	0.360410036462532
9	0.294170864348117	0.392522873023315	0.396093774860753	0.383593376206575
10	0.296782595653095	0.382707552542603	0.377641399329823	0.374557037086976
11	0.276045977621349	0.357751098361911	0.343340733359561	0.343799383821757
12	0.267951549831196	0.329914864351815	0.28801564578408	0.322638180886715
13	0.278099308801168	0.370693300204215	0.354745990034579	0.362877409096477
14	0.253570710747367	0.347404557832263	0.386265477391584	0.352207405042717
15	0.27439675201334	0.351064966657811	0.353421024381782	0.328477410534106
16	0.278008892960828	0.418720341685799	0.505699526180391	0.385459981226501
17	0.277567370480131	0.368451779392623	0.385177479081789	0.338874210709415
18	0.268424966336492	0.340554957658195	0.296246127966858	0.356128824426447
19	0.325452966000566	0.447030208093752	0.446656208387263	0.429771516885709
20	0.271686992026818	0.346374924385006	0.300946910926334	0.365647723848281
21	0.255947756841489	0.368716768623366	0.377740325437039	0.364747911955041
22	0.314400730225366	0.463861505141223	0.610752457702563	0.388541089779434
X	0.279707256837139	0.358289493522934	0.353024483353139	0.345398189991482
Y	1.09023391147015	1.50095312661859	2.10777531860621	1.4574508556831
Total	0.276325467789441	0.363993763511353	0.391559841467029	0.353544036473634
