chrom	MAPD	AVG_APD	STD_APD	IQR_APD
1	0.87705365408923	1.35495574056729	1.39263291557085	1.41674144577546
2	0.728701638193179	1.11294116118829	1.20317004157478	1.12471041410656
3	0.692857814800891	1.11810110492599	1.21137743140667	1.12180863050145
4	0.650811012499041	1.02860618322178	1.16805706769786	0.99605639066665
5	0.719913191242686	1.22949527984577	1.36494782939097	1.29412781005949
6	0.743787325958572	1.15000409878557	1.23066430743397	1.13590233347759
7	0.521276841520659	0.800348745685979	1.0035775456753	0.733789265736794
8	0.572234042062866	0.931461573475064	1.16421444418319	0.809271513086521
9	0.876910573468372	1.37486519309099	1.43019569598137	1.44898686778008
10	0.915927355463737	1.37080423548319	1.39420322670677	1.49869056601374
11	0.654027922971778	1.07656613914819	1.29684459575581	1.00806493875417
12	0.665844243476876	1.02603793127349	1.1638654791302	0.975736057201794
13	0.444076230049503	0.723072636632556	0.923126511712397	0.674531708495089
14	0.893869790403799	1.4179047454738	1.50517441121768	1.57487236650908
15	0.906773589254161	1.37136399622502	1.40371344193015	1.4779679964688
16	0.799754895163392	1.38886174399948	1.5580709173138	1.45502663815665
17	0.846475003723952	1.25541559408065	1.31810750329162	1.2410879881116
18	0.571607285951253	0.829923772426939	0.94439262406258	0.814856139995386
19	0.694388357595363	1.08348824272649	1.2209732588208	1.05153138791251
20	0.687014123917418	1.04107560840167	1.15519101564521	0.972512960986065
21	1.08103636266485	1.59867623268275	1.69185673076408	1.61273282100517
22	0.814761255507375	1.36698335187049	1.50221590195424	1.25999121175293
X	0.598703552968494	0.894902069872346	0.988682160845579	0.860891833497434
Y	0.839873533049964	1.2407909490548	2.00601248626017	1.21298946370029
Total	0.702917122710137	1.13019531899724	1.27674963203362	1.11157453731482
