chrom	MAPD	AVG_APD	STD_APD	IQR_APD
1	0.512158376505184	0.930690773870714	1.20529398797866	0.893883525643597
2	1.30856859962868	1.64718742658751	1.40886895963973	1.75378849266109
3	0.51875904659676	1.02759635097728	1.31841437984767	1.05488528664623
4	0.295852087789317	0.466415383260589	0.678443363764843	0.401992065992663
5	1.31705442572919	1.65140119145475	1.3754642026943	1.77774972330263
6	1.23030704049237	1.56838661357817	1.30477576010125	1.7764555126432
7	1.06051174011085	1.50915910162163	1.42355983108364	1.67872857909429
8	1.28901216331656	1.62763827464398	1.33948272475952	1.78230924456909
9	0.380248866511653	0.688454390779409	0.980225500237688	0.571215341438057
10	1.15600114722582	1.54640968269375	1.32413298370974	1.72599439083474
11	0.354976408141837	0.533161963035584	0.724390668443016	0.467680656816286
12	1.11174840410318	1.48234287011076	1.30527128463303	1.61116712656103
13	0.463506234177053	1.0316218707148	1.46354242675473	0.980747035646405
14	0.320600360160034	0.494073784654855	0.746951875305183	0.430200918641791
15	0.798630024975068	1.2952075745582	1.39319818373036	1.48197787120297
16	0.394374408305656	0.702474693659007	0.987652938801626	0.589116403552949
17	0.868178416664615	1.21428747669487	1.2086105904431	1.23377362463368
18	0.302214957983942	0.392351396782671	0.368105157255057	0.382711444775495
19	0.727011616137538	1.14663438210673	1.25053693896894	1.17347323961367
20	0.373806061249063	0.645031734126593	0.907139418178284	0.560859304322222
21	1.05527566127854	1.52584626047974	1.49323411206038	1.65429437830024
22	0.832641634202149	1.39822517064467	1.5918634021352	1.384125600498
X	0.297841702091453	0.415093220655688	0.469701214254285	0.391328442056636
Y	0.330837943614743	0.851761906942743	2.1679271690193	0.500983579114061
Total	0.624341267550772	1.11570283743908	1.28346344236365	1.25407082152898
