,Classification
4638_24,0.9791586
4638_34,0.6203151
4638_44,0.004121862
4638_54,0.98599386
4638_64,0.57266665
4638_74,0.027339838
4638_84,0.55744
1039_14,0.45023233
1039_24,0.0021416305
1039_34,0.5465926
1039_44,0.99999785
1039_54,0.02450425
1039_64,0.8461874
1039_74,6.3817395e-05
1039_84,0.06332331
5919_14,0.76249886
5919_24,0.2825494
5919_34,0.96299535
5919_44,0.98404586
5919_54,0.9413796
5919_64,0.99184376
5919_74,0.19616897
5919_84,0.97907984
5828_14,0.47253603
5828_24,0.90641284
5828_34,0.99999976
5828_44,0.9486848
5828_54,0.9832243
5828_64,0.9784424
5828_74,0.9995555
5828_84,0.94423413
5657_14,1.08558105e-07
5657_24,0.88967204
5657_34,0.9991424
5657_44,0.999819
5657_54,0.9994741
5657_64,0.99847645
5657_74,0.9910218
5657_84,0.9510412
4402_15,0.11011353
4402_25,0.031121554
4402_35,0.99478227
4402_45,0.021108864
4402_55,1.0
4402_65,0.02854283
4402_75,1.5365695e-05
4402_85,0.99980026
1864_15,0.99999964
1864_25,0.5208833
1864_35,0.015357335
1864_45,4.5640225e-10
1864_55,0.17957333
1864_65,3.6930182e-06
1864_75,0.0026704902
1864_85,0.5734593
6032_15,2.738301e-11
6032_25,0.11011353
6032_35,0.5801344
6032_45,0.23492844
6032_55,0.0056312797
6032_65,0.9619232
6032_75,0.5275981
6032_85,0.98196423
4638_15,0.51096386
4638_25,0.0005869511
4638_35,0.288386
4638_45,0.58146125
4638_55,0.9670933
4638_65,0.0018202923
4638_75,0.112551555
4638_85,0.061858628
1039_15,0.00020687348
1039_25,1.4723182e-09
1039_35,0.02270557
1039_45,0.00018561665
1039_55,0.0021211528
1039_65,0.9053157
1039_75,0.9742955
1039_85,0.039613705
5919_15,0.07756942
5919_25,0.99987364
5919_35,0.9224494
5919_45,0.95086694
5919_55,0.88069034
5919_65,0.9125949
5919_75,0.993764
5919_85,0.9766852
5828_15,1.0
5828_25,0.87139106
5828_35,0.004326405
5828_45,0.043704372
5828_55,0.94646734
5828_65,0.9095369
5828_75,0.99942315
5828_85,0.9916455
5657_15,0.08834206
5657_25,0.9473221
5657_35,0.6755585
5657_45,0.9842073
5657_55,0.89632416
5657_65,0.9991221
5657_75,0.99963415
5657_85,0.99264187
4402_16,0.20579612
4402_26,0.6073711
4402_36,2.4051296e-06
4402_46,0.020377776
4402_56,0.4553047
4402_66,0.391088
4402_76,0.8208673
4402_86,0.93822753
1864_16,0.99989533
1864_26,0.48718768
1864_36,0.18839699
1864_46,0.9861347
1864_56,0.9948462
1864_66,0.99975425
1864_76,0.92884547
1864_86,0.83769625
6032_16,3.401599e-14
6032_26,0.11011353
6032_36,0.0011330389
6032_46,0.99371886
6032_56,0.9932395
6032_66,0.99998677
6032_76,0.0003028833
6032_86,0.08013659
4638_16,1.2442226e-05
4638_26,0.0034104004
4638_36,0.4747474
4638_46,0.99720347
4638_56,0.9999863
4638_66,0.979039
4638_76,0.18664216
4638_86,0.008008425
1039_16,4.8402914e-11
1039_26,0.16448563
1039_36,0.9768152
1039_46,0.00078764424
1039_56,0.99723333
1039_66,0.04281289
1039_76,0.9586858
1039_86,0.88422686
5919_16,0.9828212
5919_26,0.43027
5919_36,0.9978017
5919_46,0.9130904
5919_56,0.99911815
