chrom	MAPD	AVG_APD	STD_APD	IQR_APD
1	0.288695016759492	0.38603286004901	0.406648555664308	0.372895735917137
2	0.294622350507041	0.400577313338008	0.460388325972872	0.372836619180433
3	0.263256869595437	0.337100651589032	0.327097173883703	0.347669311432256
4	0.280770033843105	0.36211179386969	0.368077993595974	0.343117423551613
5	0.274927232472364	0.3645099686828	0.396646030563192	0.355476168450747
6	0.266113121402769	0.35801841036133	0.369319960919315	0.369071961357461
7	0.305494841096034	0.420724482995959	0.458185215740497	0.396749395920793
8	0.29004818621001	0.394928636056988	0.450546324811682	0.381411965844785
9	0.293483420575705	0.406911624304427	0.477400313738597	0.388622120522034
10	0.294523715487819	0.39819899263733	0.47502534568742	0.373474111953594
11	0.31905945720395	0.422285261832312	0.437628823200443	0.398324088230145
12	0.285194705054402	0.375974061940589	0.396555311904125	0.35719062441883
13	0.296988135464087	0.383275433091726	0.418883243041802	0.365562132494094
14	0.278473798694714	0.37253991031845	0.431013427370237	0.343246439441022
15	0.263598618493226	0.376573155959026	0.427629118672354	0.368632731406426
16	0.299440708851932	0.460886864059577	0.564039097419306	0.41918999806638
17	0.285439525165381	0.40871497893577	0.464495708797993	0.360969538713362
18	0.267466910596145	0.349830221235907	0.324406944840965	0.352600460684814
19	0.320852751254914	0.527060521611071	0.678990898401573	0.498422197595177
20	0.264858256024861	0.354956518699961	0.354588459536989	0.365713749839941
21	0.299927011566384	0.460705386341962	0.53081438311414	0.435316946832849
22	0.340309377548238	0.553270437447584	0.755312887138025	0.452572842562668
X	0.354041723801746	0.467458576405115	0.473608310353957	0.457144559197388
Y	0.370720642780357	0.782928760284911	1.71191644775076	0.63015903233061
Total	0.290167874977887	0.395963738072711	0.453169593671669	0.378002103780324
