chrom	MAPD	AVG_APD	STD_APD	IQR_APD
1	0.487408527952065	0.641888301340015	0.608136152894419	0.631462610667372
2	0.530357540816622	0.698464745440013	0.685580634017324	0.69015557312081
3	0.606347067074421	0.835861231912387	0.8707469700357	0.796363236089315
4	0.543536399995205	0.757753910945935	0.813307660881495	0.728470051703463
5	0.499344039654076	0.679833411248455	0.713298392387985	0.653683232931352
6	0.528204971146487	0.716501809152042	0.739067216912549	0.684756549870177
7	0.586500243866334	0.815807493995349	0.844438613706976	0.799487420615613
8	0.566940943995195	0.781768020848998	0.829947405447807	0.739721809658499
9	0.515910434200888	0.689856202777519	0.707484319564668	0.682799661821808
10	0.515559572587415	0.738127710980038	0.809880955774794	0.746859248543607
11	0.478755425339821	0.652272656476359	0.660260326891498	0.667618427129335
12	0.480417272057775	0.616992865064529	0.581516332971189	0.618762110770381
13	0.572286175844088	0.783422446329621	0.798016605935658	0.739206376000484
14	0.487745139253554	0.658083048885435	0.693235095919861	0.620814000637264
15	0.506998435833919	0.659797828438596	0.611840183705161	0.653444099816276
16	0.546078235228075	0.754809369782986	0.770369784652256	0.742031106867836
17	0.519857827155713	0.675352190667226	0.638002405526723	0.615087488889885
18	0.598452739161711	0.845456304343117	0.877434279605328	0.853080709054556
19	0.416808527252253	0.546942111407504	0.499433860368207	0.539780063491028
20	0.539235166402714	0.707681448107835	0.717283470677709	0.689173623198835
21	0.534126809634804	0.737106144812044	0.798105973815941	0.638542750615783
22	0.555323224346967	0.833667874350175	0.926415776830456	0.727450412482358
X	0.694174973345167	1.1606681500706	1.32956691431127	1.08489364083329
Y	0.893044620075227	1.4837752798359	2.19628633742758	1.40157663069481
Total	0.537632551348687	0.746121915198669	0.804630466987195	0.713307214968836
