chrom	MAPD	AVG_APD	STD_APD	IQR_APD
1	0.358964510506759	0.528459314109908	0.696741651110017	0.464484823557277
2	0.356288571479332	0.544746690541608	0.796330926371893	0.449479157804775
3	0.323166976213167	0.432005359864435	0.527806551567152	0.41117466538834
4	0.326933547087484	0.4654967649212	0.591823882373573	0.427999382660124
5	0.332365433866524	0.46851495345955	0.629721137264777	0.42590828838501
6	0.332998266277826	0.475591530645416	0.6144514265747	0.43416859485566
7	0.368927795376964	0.570096455804199	0.797407818007357	0.479725332377972
8	0.345292545376388	0.516117571813599	0.732023348645035	0.438073326526087
9	0.391028623403627	0.604812847309541	0.895496982669514	0.504682464509374
10	0.36190594546771	0.560135674677365	0.830208568421147	0.468546872240353
11	0.346706652182865	0.507719635975836	0.698364796085008	0.435716834947048
12	0.354844037379607	0.523031733959621	0.720959848225847	0.463858642946867
13	0.34352955235488	0.513713206515717	0.754439286177917	0.453323123632268
14	0.334927551624248	0.514066222302913	0.813039865076458	0.45469100959358
15	0.314943712344929	0.483857921915296	0.675284252530892	0.463270561039785
16	0.39936919348707	0.710775812257362	1.00655723406969	0.576549273965183
17	0.379638105364879	0.605045417632618	0.897474233034565	0.48172504250594
18	0.354016633668561	0.484442277276354	0.573477185640747	0.46352726794317
19	0.5058045278837	0.858318023092697	1.25348736089451	0.645190773373981
20	0.391082698080524	0.566442830042016	0.688586575168969	0.495517765984271
21	0.390526330309791	0.719461709559489	1.06540569545783	0.583472788476662
22	0.41550592892329	0.93625123071143	1.49239220127772	0.692934317281436
X	0.345811184031159	0.467854925501683	0.567609568543735	0.436472335850727
Y	1.07487440723238	1.5023372355112	1.95425513406999	1.36710686744729
Total	0.35435401968415	0.535668935158671	0.767221632892799	0.462480468245205
