chrom	MAPD	AVG_APD	STD_APD	IQR_APD
1	0.255747631062765	0.334145720940828	0.350371084629986	0.320778001821043
2	0.26407851457363	0.33849451340079	0.341058549325461	0.34267081366217
3	0.285452300106078	0.359169272330868	0.300230722083873	0.372502054514786
4	0.285750269041341	0.368612513919951	0.32311208724685	0.359687074748284
5	0.274036229267963	0.350290168809243	0.322414398034176	0.365019862974996
6	0.252330694568249	0.323726916022734	0.290285011256959	0.333033533691748
7	0.282908048755875	0.364674723604853	0.346930605372938	0.367023689801093
8	0.283903986197694	0.378338557063354	0.360210553915919	0.382162007822625
9	0.258920790388914	0.327967315385362	0.291178587223658	0.336600035896005
10	0.268982637191918	0.35852876484955	0.34581595414304	0.369169546838236
11	0.300341903752267	0.389797690154487	0.352774154379953	0.389797321728453
12	0.268457215881111	0.329429023601377	0.280291100003344	0.340986927685824
13	0.256714283472522	0.328612062703617	0.276477431380348	0.350597758320342
14	0.275957380935876	0.365599696409617	0.359013697067246	0.370382164311579
15	0.238304665242917	0.32208955944392	0.324954564680285	0.317153879978578
16	0.286234727963102	0.411525285358519	0.476902812641736	0.410519423544636
17	0.260978688528381	0.354031729911335	0.342259440997573	0.35399359224023
18	0.28132247416913	0.351362301626466	0.293364740146161	0.3615324633188
19	0.317811194205307	0.428576074747883	0.388834772768358	0.452302598698663
20	0.234506081145486	0.296113299658561	0.255333904166626	0.293413265187611
21	0.229877168386379	0.316747422003513	0.302240276933954	0.313514667385782
22	0.265781699498198	0.390767342066138	0.459499437636245	0.355871639364175
X	0.280145691752473	0.364081650465661	0.362487190124366	0.363713497569956
Y	1.10382484475981	1.45677475848173	2.0848199407573	1.27423437272934
Total	0.271865264911607	0.358034665879279	0.371546863815102	0.3587235104497
