chrom	MAPD	AVG_APD	STD_APD	IQR_APD
1	0.210861600352278	0.335579328092277	0.512849986565239	0.277244997799074
2	0.204853269495127	0.341141809784678	0.545752109080448	0.271366924882681
3	0.201394290332625	0.263502011184973	0.328766683566848	0.253135196838618
4	0.203189059969257	0.289594975175531	0.392069799691164	0.265912865524298
5	0.201687187354564	0.297330580215921	0.416791570289438	0.265367247958119
6	0.204319107177759	0.291823577324297	0.425218493841641	0.260048546567536
7	0.217380959871564	0.362438258176545	0.536276488506064	0.280188568738053
8	0.208170789400208	0.332928028600027	0.520105869361372	0.274298646944172
9	0.21395858525941	0.380797344131989	0.629935978117541	0.29423947185464
10	0.22071780364802	0.354914674574041	0.562658374565295	0.298743850845966
11	0.213945739022547	0.332816028783367	0.506365910061259	0.285138643700321
12	0.200234606843406	0.308588722008118	0.461819658614704	0.250077968360618
13	0.190604173850512	0.308436830383188	0.530948394390353	0.257682233150718
14	0.210008048349928	0.315701998743654	0.501366766017397	0.271291598215818
15	0.207490290556479	0.315199381615383	0.443392649347237	0.267357049686104
16	0.238937564455551	0.461911845316062	0.685892422242802	0.350221777494521
17	0.218817059456963	0.392935577920489	0.665655833574947	0.305033402437061
18	0.197547829174865	0.294567154304516	0.393911628897335	0.260229890730986
19	0.262947868057243	0.527367283984934	0.815686079772187	0.444562853846519
20	0.214658402703979	0.358149619996696	0.505518000372494	0.293564733271846
21	0.205583203780442	0.478847344043129	0.820287198436784	0.343140626246612
22	0.269290437264344	0.590387906259622	0.997910062123791	0.431704399118724
X	0.246860406880128	0.345043027027316	0.445163400114268	0.317039860538002
Y	1.23592734305703	1.58651814770065	1.66885145639277	1.44958697447989
Total	0.211920607302901	0.342302970818507	0.538094710355019	0.280874886562427
