,Classification
decile_1,0.25446424
decile_2,0.2692306
decile_3,0.9615667
decile_4,0.99934393
decile_5,0.79322064
decile_6,0.99954826
decile_7,0.99959034
decile_8,0.992664
decile_11,0.36776403
decile_21,0.9900693
decile_31,0.3057496
decile_41,0.7461172
decile_51,0.74655825
decile_61,0.06529604
decile_71,0.012116881
decile_81,0.020672616
