ctype,sig,a0,a1
BOCA-UK,SBS90,0,0
BOCA-UK,Unknown,9.55026943796631E-06,-1.07081645050032E-07
BRCA-EU,SBS1,1.75825262488034E-05,-1.71189105251537E-07
BRCA-EU,SBS2,6.29678434183709E-05,-4.30158325646619E-07
BRCA-EU,SBS3,0,0
BRCA-EU,SBS4,0,0
BRCA-EU,SBS5,5.88204992489865E-05,-4.61926554760536E-07
BRCA-EU,SBS6,0,0
BRCA-EU,SBS7a,0,0
BRCA-EU,SBS7b,0,0
BRCA-EU,SBS7c,0,0
BRCA-EU,SBS7d,0,0
BRCA-EU,SBS8,0,0
BRCA-EU,SBS9,0,0
BRCA-EU,SBS10a,0,0
BRCA-EU,SBS10b,0,0
BRCA-EU,SBS11,0,0
BRCA-EU,SBS12,0,0
BRCA-EU,SBS13,2.4688456326473E-05,6.0372644261044E-08
BRCA-EU,SBS14,0,0
BRCA-EU,SBS15,0,0
BRCA-EU,SBS16,0,0
BRCA-EU,SBS17a,0,0
BRCA-EU,SBS17b,0,0
BRCA-EU,SBS18,0,0
BRCA-EU,SBS19,0,0
BRCA-EU,SBS20,0,0
BRCA-EU,SBS21,0,0
BRCA-EU,SBS22,0,0
BRCA-EU,SBS23,0,0
BRCA-EU,SBS24,0,0
BRCA-EU,SBS25,0,0
BRCA-EU,SBS26,0,0
BRCA-EU,SBS27,0,0
BRCA-EU,SBS28,0,0
BRCA-EU,SBS29,0,0
BRCA-EU,SBS30,0,0
BRCA-EU,SBS31,0,0
BRCA-EU,SBS32,0,0
BRCA-EU,SBS33,0,0
BRCA-EU,SBS34,0,0
BRCA-EU,SBS35,0,0
BRCA-EU,SBS36,0,0
BRCA-EU,SBS37,0,0
BRCA-EU,SBS38,0,0
BRCA-EU,SBS39,0,0
BRCA-EU,SBS40,2.42029862198275E-05,-1.26384103588736E-07
BRCA-EU,SBS41,0,0
BRCA-EU,SBS42,0,0
BRCA-EU,SBS43,0,0
BRCA-EU,SBS44,0,0
BRCA-EU,SBS45,0,0
BRCA-EU,SBS46,0,0
BRCA-EU,SBS47,0,0
BRCA-EU,SBS48,0,0
BRCA-EU,SBS49,0,0
BRCA-EU,SBS50,0,0
BRCA-EU,SBS51,0,0
BRCA-EU,SBS52,0,0
BRCA-EU,SBS53,0,0
BRCA-EU,SBS54,0,0
BRCA-EU,SBS55,0,0
BRCA-EU,SBS56,0,0
BRCA-EU,SBS57,0,0
BRCA-EU,SBS58,0,0
BRCA-EU,SBS59,0,0
BRCA-EU,SBS60,0,0
BRCA-EU,SBS84,0,0
BRCA-EU,SBS85,0,0
BRCA-EU,SBS86,0,0
BRCA-EU,SBS87,0,0
BRCA-EU,SBS88,0,0
BRCA-EU,SBS89,0,0
BRCA-EU,SBS90,0,0
BRCA-EU,Unknown,5.18787844730756E-06,-6.87877152898911E-08
BRCA-UK,SBS1,1.2496858481844E-05,-1.16951233559612E-07
BRCA-UK,SBS2,3.38080917418224E-05,-1.33716928323803E-07
BRCA-UK,SBS3,1.49143136399284E-05,-1.78508370693635E-07
BRCA-UK,SBS4,3.08167401504553E-06,-5.02928213483484E-08
BRCA-UK,SBS5,4.13868037482651E-05,-3.21541100607071E-07
BRCA-UK,SBS6,0,0
BRCA-UK,SBS7a,0,0
BRCA-UK,SBS7b,0,0
BRCA-UK,SBS7c,0,0
BRCA-UK,SBS7d,0,0
BRCA-UK,SBS8,1.80463315916574E-05,-2.78913063945856E-07
BRCA-UK,SBS9,0,0
BRCA-UK,SBS10a,0,0
BRCA-UK,SBS10b,0,0
BRCA-UK,SBS11,0,0
BRCA-UK,SBS12,0,0
BRCA-UK,SBS13,3.03664674138966E-05,-1.53160721872444E-09
BRCA-UK,SBS14,0,0
BRCA-UK,SBS15,0,0
BRCA-UK,SBS16,0,0
BRCA-UK,SBS17a,0,0
BRCA-UK,SBS17b,0,0
BRCA-UK,SBS18,0,0
BRCA-UK,SBS19,0,0
BRCA-UK,SBS20,0,0
BRCA-UK,SBS21,0,0
BRCA-UK,SBS22,0,0
BRCA-UK,SBS23,0,0
BRCA-UK,SBS24,0,0
BRCA-UK,SBS25,0,0
BRCA-UK,SBS26,0,0
BRCA-UK,SBS27,0,0
BRCA-UK,SBS28,0,0
BRCA-UK,SBS29,0,0
BRCA-UK,SBS30,0,0
BRCA-UK,SBS31,0,0
BRCA-UK,SBS32,0,0
BRCA-UK,SBS33,0,0
BRCA-UK,SBS34,0,0
BRCA-UK,SBS35,0,0
BRCA-UK,SBS36,0,0
BRCA-UK,SBS37,0,0
BRCA-UK,SBS38,0,0
BRCA-UK,SBS39,0,0
BRCA-UK,SBS40,8.04089223959334E-06,2.47829053289939E-07
BRCA-UK,SBS41,0,0
BRCA-UK,SBS42,0,0
BRCA-UK,SBS43,0,0
BRCA-UK,SBS44,0,0
BRCA-UK,SBS45,0,0
BRCA-UK,SBS46,0,0
BRCA-UK,SBS47,0,0
BRCA-UK,SBS48,0,0
BRCA-UK,SBS49,0,0
BRCA-UK,SBS50,0,0
BRCA-UK,SBS51,0,0
BRCA-UK,SBS52,0,0
BRCA-UK,SBS53,0,0
BRCA-UK,SBS54,0,0
BRCA-UK,SBS55,0,0
BRCA-UK,SBS56,0,0
BRCA-UK,SBS57,0,0
BRCA-UK,SBS58,0,0
BRCA-UK,SBS59,0,0
BRCA-UK,SBS60,0,0
BRCA-UK,SBS84,0,0
BRCA-UK,SBS85,0,0
BRCA-UK,SBS86,0,0
BRCA-UK,SBS87,0,0
BRCA-UK,SBS88,0,0
BRCA-UK,SBS89,0,0
BRCA-UK,SBS90,0,0
BRCA-UK,Unknown,7.60929438652174E-06,-1.02166745982447E-07
BRCA-US,SBS1,2.01516438077456E-05,-1.32773591075215E-07
BRCA-US,SBS2,5.4110396660915E-05,-4.89306207016625E-08
BRCA-US,SBS3,6.79945494899417E-06,1.13581496111057E-09
BRCA-US,SBS4,0,0
BRCA-US,SBS5,3.20093261384483E-05,3.66952453850486E-07
BRCA-US,SBS6,0,0
BRCA-US,SBS7a,0,0
BRCA-US,SBS7b,0,0
BRCA-US,SBS7c,0,0
BRCA-US,SBS7d,0,0
BRCA-US,SBS8,8.55460360032239E-05,-1.28865604899097E-06
BRCA-US,SBS9,0,0
BRCA-US,SBS10a,0,0
BRCA-US,SBS10b,0,0
BRCA-US,SBS11,0,0
BRCA-US,SBS12,0,0
BRCA-US,SBS13,4.53765024776914E-05,2.95257334522852E-07
BRCA-US,SBS14,0,0
BRCA-US,SBS15,0,0
BRCA-US,SBS16,0,0
BRCA-US,SBS17a,0,0
BRCA-US,SBS17b,0,0
BRCA-US,SBS18,0,0
BRCA-US,SBS19,0,0
BRCA-US,SBS20,0,0
BRCA-US,SBS21,0,0
BRCA-US,SBS22,0,0
BRCA-US,SBS23,0,0
BRCA-US,SBS24,0,0
BRCA-US,SBS25,0,0
BRCA-US,SBS26,0,0
BRCA-US,SBS27,0,0
BRCA-US,SBS28,0,0
BRCA-US,SBS29,0,0
BRCA-US,SBS30,0,0
BRCA-US,SBS31,0,0
BRCA-US,SBS32,0,0
BRCA-US,SBS33,0,0
BRCA-US,SBS34,0,0
BRCA-US,SBS35,0,0
BRCA-US,SBS36,0,0
BRCA-US,SBS37,0,0
BRCA-US,SBS38,0,0
BRCA-US,SBS39,0,0
BRCA-US,SBS40,0.000119855484341,-1.31181366224533E-06
BRCA-US,SBS41,0,0
BRCA-US,SBS42,0,0
BRCA-US,SBS43,0,0
BRCA-US,SBS44,0,0
BRCA-US,SBS45,0,0
BRCA-US,SBS46,0,0
BRCA-US,SBS47,0,0
BRCA-US,SBS48,0,0
BRCA-US,SBS49,0,0
BRCA-US,SBS50,0,0
BRCA-US,SBS51,0,0
BRCA-US,SBS52,0,0
BRCA-US,SBS53,0,0
BRCA-US,SBS54,0,0
BRCA-US,SBS55,0,0
BRCA-US,SBS56,0,0
BRCA-US,SBS57,0,0
BRCA-US,SBS58,0,0
BRCA-US,SBS59,0,0
BRCA-US,SBS60,0,0
