,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,Unknown,Classification
TCGA-05-4396-01A-21D-1855-08,0,0,0,0,0,0,0,0,0,0,0,0,0.0356845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7421485,0,0,0,0,0,0,0,0,0,0,0.07595251,0,0,0.08592359,0.053792376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006498456,7.288972E-11
TCGA-05-4403-01A-01D-1265-08,0.030756894,0.021354789,0.022382684,0.06302884,0.7424915,0,0,0,0,0,0.03358272,0,0,0,0,0,0.014002165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010065693,0,0,0,0,0,0.010015775,0,0,0,0.028076379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02424264,0.9986811
TCGA-05-4420-01A-01D-1265-08,0,0.019162789,0,0.22950648,0,0,0,0,0.024467176,0,0.134741,0,0.036170848,0,0,0.056351013,0.020470591,0,0,0,0,0,0,0.06973174,0,0,0,0.01796704,0,0,0,0,0,0.0738169,0,0,0.013787936,0,0,0,0,0.030040924,0.05100641,0.031288613,0,0,0,0,0,0,0,0,0,0,0.077811934,0.052564833,0,0.0105134845,0,0,0,0.02424174,0,0,0,0,0,0,0,0,0,0,0.026358545,0.0360541
TCGA-05-4432-01A-01D-1265-08,0,0,0,0.62465626,0.31855658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056787133,0.997922
TCGA-06-0174-01A-01D-1491-08,0.327818,0,0.010287224,0,0.6149423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028946776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018005729,0.9987931
TCGA-06-0743-01A-01D-1492-08,0.21452886,0,0,0,0.386485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3782388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020747364,0.99900657
TCGA-06-0747-01A-01D-1492-08,0.12996428,0,0.016120747,0,0.83431476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019600213,0.9995677
TCGA-06-0750-01A-01D-1492-08,0.24889404,0,0,0,0.3721456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051270638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3126498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015039921,0.9998764
TCGA-06-1802-01A-01W-0643-08,0.021319963,0,0.2548885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67028195,0.011102451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042407155,0.91532356
TCGA-06-6697-01A-11D-1845-08,0.10794987,0.028763164,0,0,0,0,0,0,0.07618452,0,0,0,0,0,0,0,0.0643272,0,0,0.24582767,0,0.013962334,0,0,0.0113029,0.037423607,0,0,0.013783494,0,0,0.017420847,0.030300949,0,0,0,0.018291514,0,0,0,0,0,0,0,0,0,0.0122504495,0,0.07263805,0,0,0,0,0,0,0.17779738,0,0,0,0,0,0.02592903,0,0,0,0,0.02640397,0.01691675,0,0,0,0,0.0025264025,0.117343
