Dataset,file_name,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,Unknown
PCAWG_WG,2b54d668-7585-4bf4-9fdd-aea3c5cd4fa4,807.0991794,0,0,0,993.5108946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.7563647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.8532655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.78031038
PCAWG_WG,ad007b59-46f6-48b9-958a-2b9d28cca3b7,1246.36173312,0,0,0,1651.67505648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3110.7723344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.19084524
PCAWG_WG,2f79fe89-9d24-4fbe-ba5b-0ff6c3c4d663,808.39192266,0,0,0,2055.97291554,0,0,0,0,0,99.110316285,0,0,0,0,0,0,0,0,0,0,0,35.002640214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.522095465
PCAWG_WG,7e10e325-16d2-42df-b957-df4d3a9477d0,535.13185174,188.086977422,0,0,2281.7588985,0,0,0,0,0,0,0,0,0,0,0,57.034069974,0,0,0,0,0,43.662521242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.638363291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.68715648
PCAWG_WG,b3f1d232-4392-4258-9256-d38ff4b59f94,235.79741947,0,1042.04206223,0,2822.14634726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.354881364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.403406322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.255827566
PCAWG_WG,bd3028c7-1fde-401d-a6b2-5f8e61eb4aa1,724.22008072,24.08903906,0,0,52.7179096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865.03807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.934894754
PCAWG_WG,51adf6cf-f422-4d7e-aa46-cc9bf0ef8693,736.54332532,0,242.058271433,0,1817.76461867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366.17772588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.456217834
PCAWG_WG,5fe8a231-bbac-4f91-a47a-0de4fee752d3,153.95360684,0,0,0,162.06301584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.2323327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.751046897
PCAWG_WG,131332b2-ff51-4bd7-a626-aff2ecea6135,464.98470884,0,0,0,291.401808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.237300232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526.92986272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.446366548
PCAWG_WG,41c565a9-d44a-447f-85c0-98f23bfee1b3,833.4620162,0,0,0,1095.82011015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.5442061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.17359732
PCAWG_WG,1d6c9181-a02f-4c35-85b3-65dc5808f50e,100.2031305,0,0,0,1328.11631249,0,0,0,0,0,0,130.14197075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.447261398,0,0,21.2647487415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.826580438
PCAWG_WG,280a069c-38e5-4300-a15c-2612301b70e3,725.9813666,33.31912583,0,0,1450.508889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.19068894
PCAWG_WG,d74be531-b0fd-42c3-954e-4a4f7eef922a,355.4929134,0,0,0,922.3361145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.171018864
PCAWG_WG,63faa59e-6649-412e-823a-338d0662ec72,40.376740037,0,0,0,689.4902287,0,0,0,0,0,0,36.340025468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1082.6554289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.137628222
PCAWG_WG,1558629a-770a-4dcb-b0bf-9a8bcea9d80b,829.03116232,0,0,0,1960.6939766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.530497986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.94745406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79701797
PCAWG_WG,3e7a30e6-2202-40bd-bfc1-0383604050da,25.626157394,0,59.956522744,0,1123.790889,0,0,0,0,0,0,18.172028584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.737552328,0,0,0,0,0,0,17.182566004,0,0,0,0,0,0,0,0,0,0,17.63907252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.895216842
PCAWG_WG,a971ac23-0664-405d-9f5c-9ca892af003e,64.77001212,0,27.929096426,12.194531448,531.10240128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.68155311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.322384738
PCAWG_WG,089be98d-c3c9-4fb4-aef2-7a8578a91d51,633.69219132,0,0,0,943.3997715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916.31407704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.2420211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.351858478
PCAWG_WG,73f7718b-f9b1-4a63-a561-0c9cc2abeb9f,343.2775372,22.490253032,0,0,508.9107972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.307469564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.21322628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.800739448
PCAWG_WG,33de44a2-bec1-402d-872c-d78c1f2d52b3,682.57549878,0,0,0,2719.8596184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.902570872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.66230479
PCAWG_WG,96b67289-9c42-402b-8e30-9efb4d512bef,26.5153824,26.435172768,0,112.50494496,1177.4372256,0,0,0,0,0,0,0,0,0,0,0,32.291472888,0,0,61.161287904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6545574
PCAWG_WG,ec16d1f5-f8a9-4c19-8cce-92f6ea9eb3f7,1191.89242272,0,0,0,1262.93320592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.614226004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1908.093712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.466531872
PCAWG_WG,de4faf55-1bcf-427f-b019-829bb4b64ff1,523.46971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276.74020854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.790088748
PCAWG_WG,3b8ab548-6669-4142-9612-cafded0d7a23,252.76080258,0,64.5504414,0,851.3675484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534.61287032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.7084762
PCAWG_WG,84aa2983-714b-49fd-af93-f18ed4d6a6cb,83.26643725,47.548541845,227.70412381,0,1497.5576285,0,0,0,0,0,0,0,0,0,0,0,33.0504085375,0,0,0,0,0,29.683081255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.984675915,0,0,0,687.10443825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.10062569
