Dataset,Sample,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,Unknown,Classification
Clonal,52d8ccfc-c623-11e3-bf01-24c6515278c0,0,0,0,0.020258732,0.79213095,0,0,0,0,0,0,0,0,0,0,0.11579195,0,0,0,0.016125806,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016592886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039099693,0.9998356
Clonal,52f2d49e-f24d-41d2-9f73-33bd1cc51bba,0.064335294,0,0,0,0,0,0.034812074,0,0,0,0,0,0.015556732,0,0.03145308,0.06823995,0,0,0.1102182,0.04422661,0.0141200395,0,0,0,0,0,0.018987888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08665166,0,0,0,0.016908053,0,0,0.017443359,0,0,0,0.064772025,0,0,0.08245381,0.16255726,0,0,0,0,0,0.11797972,0,0,0.024353823,0.024930477,0.4937168
Clonal,52f43b72-15ea-40a0-a3b4-4bf22bc0bf25,0.30252117,0.026769914,0,0,0.5623299,0,0,0,0,0,0,0,0,0,0,0,0.01617265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07155664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02064979,0.99979955
Clonal,532259b8-c622-11e3-bf01-24c6515278c0,0.010491807,0,0,0.042214375,0.66872966,0,0,0,0,0,0,0,0,0,0,0.05197379,0,0,0,0,0,0,0,0,0,0,0.13029253,0,0,0,0,0,0,0.012573247,0,0,0,0,0,0,0,0,0,0,0.03249826,0.011418766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039807558,0.9994785
Clonal,532bec86-b8d3-41a1-ba17-913a7d378f66,0.06484379,0.021256806,0,0,0.07506174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25932953,0.36893323,0.088944264,0,0,0,0,0,0,0,0,0,0.028386066,0,0,0,0,0,0,0,0,0.02023604,0,0,0.034309495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03869909,0.9998503
Clonal,534d941c-ec2d-47eb-b2dc-d3f856d0b151,0.25378132,0,0.014649384,0,0.7050348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026534498,0.7400942
Clonal,53534b3c-cd15-4d68-a9b1-6902bb234c45,0.17622246,0,0.40021178,0,0.2991033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036885623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021216132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010674099,0,0,0,0,0,0,0,0,0,0.055686593,0.9992048
Clonal,537cccf2-fb25-448b-813e-ca5d5642b910,0.17813556,0,0,0.064499736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045819663,0,0.060101815,0,0,0,0,0,0.05006552,0,0,0,0,0,0,0,0,0,0,0.02067382,0,0,0,0,0,0.10897157,0,0,0,0,0,0,0.09453297,0,0,0,0,0,0,0,0.23806472,0.04534596,0,0.016910821,0,0,0,0,0,0,0,0.037079714,0,0.02796763,0.011830449,0.06564827
Clonal,53ac794d-1067-43e0-8dc0-43b131f43ec5,0.15221979,0,0,0,0,0,0,0,0,0,0,0,0.023839246,0.041526094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19266142,0,0,0,0,0,0,0.015714405,0,0.020840593,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010206332,0,0,0,0.04111636,0,0,0,0,0.42631415,0,0.012386121,0,0,0,0.015325893,0,0,0,0.047849596,0.1236436
Clonal,53bcbb68-addd-47fc-9910-cd1d3f38197d,0.08287083,0,0,0,0.28840715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5884622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040259838,0.98937243
