bin,cancer_type,SBS3,Classification,,bin,cancer_type,SBS5,Classification,,bin,cancer_type,SBS40,Classification
nolongdels,Lung-SCC,0.012888403,0.9984397,,nolongdels,Prost-AdenoCA,0.4023025,0.99948657,,nolongdels,Biliary-AdenoCA,0.09658856,0.9996997
nolongdels,CNS-GBM,0.012020923,0.984478,,nolongdels,Panc-AdenoCA,0.32526743,0.99978894,,nolongdels,Lymph-CLL,0.81549746,0.9632593
nolongdels,Uterus-AdenoCA,0.108479135,0.9986841,,nolongdels,Eso-AdenoCa,0.07410944,0.99998593,,nolongdels,Stomach-AdenoCA,0.22671813,0.99996877
nolongdels,Stomach-AdenoCA,0.14636274,0.9998994,,nolongdels,Lymph-BNHL,0.46494827,0.9551946,,nolongdels,CNS-PiloAstro,0,9.571134E-06
nolongdels,Kidney-ChRCC,0,0.9839585,,nolongdels,CNS-Medullo,0.6099651,0.9987312,,nolongdels,Breast-AdenoCa,0.48396617,0.9998996
,,,,,nolongdels,Lymph-CLL,0,0.4914255,,nolongdels,Bone-Osteosarc,0.61327446,0.99962103
,,,,,nolongdels,Breast-AdenoCa,0.22614504,0.99998736,,nolongdels,Breast-LobularCa,0,0.99592566
,,,,,nolongdels,Head-SCC,0.25568172,0.99997187,,nolongdels,Bone-Epith,0.12076618,0.9922855
,,,,,nolongdels,Stomach-AdenoCA,0.2291336,0.99993396,,nolongdels,Uterus-AdenoCA,0,0.999148
,,,,,nolongdels,Skin-Melanoma,0.030141592,0.8730506,,nolongdels,Lung-AdenoCA,0.12760024,0.9992884
,,,,,nolongdels,Biliary-AdenoCA,0.41148323,0.9993661,,nolongdels,Bone-Leiomyo,0.15561824,0.99995863
,,,,,nolongdels,Myeloid-AML,0.16625373,0.9999939,,nolongdels,ColoRect-AdenoCA,0.5040752,0.99919325
,,,,,nolongdels,CNS-PiloAstro,0,1.01192865E-11,,nolongdels,Kidney-ChRCC,0.5558944,0.99784434
,,,,,nolongdels,Breast-DCIS,0,0.0003258105,,nolongdels,Head-SCC,0.46862072,0.99971753
,,,,,nolongdels,Breast-LobularCa,0.049289092,0.99992347,,nolongdels,Lung-SCC,0.17645685,0.999049
,,,,,nolongdels,Bone-Osteosarc,0.05035481,0.9994568,,nolongdels,Cervix-SCC,0.28599733,0.99999404
,,,,,nolongdels,Myeloid-MPN,0.8225165,0.99779606,,nolongdels,CNS-GBM,0.37297398,0.994651
,,,,,nolongdels,Bone-Cart,0,0.0023704276,,nolongdels,Thy-AdenoCA,0.06393846,0.99813473
,,,,,nolongdels,Bone-Epith,0.2129875,0.9999782,,nolongdels,Bladder-TCC,0.41564634,0.9999739
,,,,,nolongdels,CNS-Oligo,0.75217974,0.9976949,,,,,
,,,,,nolongdels,Thy-AdenoCA,0.5713576,0.99951947,,,,,
,,,,,nolongdels,Lung-AdenoCA,0.08384742,0.99979776,,,,,
,,,,,nolongdels,CNS-GBM,0.4874505,0.9958282,,,,,
,,,,,nolongdels,Bone-Leiomyo,0.7178477,0.99864286,,,,,
,,,,,nolongdels,Cervix-SCC,0.36644492,0.9999496,,,,,
,,,,,nolongdels,Kidney-ChRCC,0.35017136,0.984037,,,,,
,,,,,nolongdels,Lung-SCC,0.18856953,0.99922633,,,,,
,,,,,nolongdels,Bladder-TCC,0.45871007,0.9998969,,,,,
,,,,,nolongdels,ColoRect-AdenoCA,0.098802604,0.9986945,,,,,
,,,,,nolongdels,Uterus-AdenoCA,0.25249168,0.8918457,,,,,
,,,,,nolongdels,Cervix-AdenoCA,0.48781168,0.97125286,,,,,
