Cell_ID,MAPD,CoV
1039,0.290167874977887,2.88059972502943
1113_D1,0.211920607302901,3.186670801404
1113_E1,0.264359830164882,3.31679582452129
1113_F1,0.310889111050535,4.25527783532402
1363_A4,0.241642143968307,1.34276213162985
1363_D4,0.561055541812787,4.41041599974267
1363_H4,0.470605414447012,4.13730018346109
1673_A2,0.341876193432675,2.84356348161475
1673_A3,0.217212547672547,1.67036737153764
1673_D2,0.38668698030875,4.07625078645158
1743_A3,0.297716881743834,2.06602306792854
1743_C3,0.317222263333695,5.59106899660213
1743_F3,0.291570527357712,2.06705692864023
1864_E3,0.276325467789441,4.81845116032901
4402_A1,0.233835683566374,1.19294043750409
4402_A3,0.198070435854144,1.51822109035356
4638_A1,0.188043315644978,15.6385569497761
4638_A4,0.205252170711294,12.0503842428808
4638_B2,0.271865264911607,4.78499165518162
5657_D1,0.702917122710137,3.60643494477507
5657_H1,0.237713888225295,2.43690275351349
5828_C2,0.35435401968415,8.34438010200255
5828_G2,0.372343338136171,1.87686603775996
5919_C4,0.537632551348687,5.51337770403337
5919_D2,0.236474023622595,1.53256661692365
5919_E3,0.245454046015016,1.59867861494684
5919_F6,0.279799657280038,2.24747758868319
6032_A1,0.22219037261737,1.13591413826702
6032_C7,0.624341267550772,30.6794026806143
6032_E7,0.228855488991502,1.93331291280384
604_B2,0.717151126170342,9.3845723630526
604_B3,0.914125462851748,11.826451315302
604_B6,0.647694796899509,9.00476540870772
