"","x"
"319","PLCH1"
"320","MFSD1"
"321","PHC3"
"322","LOC101928882"
"323","MCF2L2"
"324","DGKG"
"325","SORCS2"
"326","KCNIP4"
"327","GABRB1"
"328","CHIC2"
"329","MOB1B"
"330","WDFY3"
"331","SMARCAD1"
"332","LINC02262"
"333","LINC01091"
"334","LINC01256"
"335","MARCHF1"
"336","TENM3"
"337","TENM3"
"338","F11-AS1"
"339","LOC339975"
"340","SEMA5A"
"341","CTNND2"
"342","FBXL7"
"343","RETREG1"
"344","CDH12"
"345","PDZD2"
"346","PDE4D"
"347","ELOVL7"
"348","ARHGEF28"
"349","RIOK2"
"350","MAN2A1"
"351","COMMD10"
"352","LINC02147"
"353","LINC02147"
"354","C5orf66"
"355","SGCD"
"356","EBF1"
"357","TENM2"
"358","TENM2"
"359","FGF18"
"360","CDYL"
"361","CAP2"
"362","E2F3"
"363","LOC105374972"
"364","TSBP1-AS1"
"365","SNRPC"
"366","FKBP5"
"367","DNAH8"
"368","GLP1R"
"369","GSTA1"
"370","FAM83B"
"371","HTR1E"
"372","LOC101928911"
"373","MCHR2"
"374","GRIK2"
"375","BEND3"
"376","AK9"
"377","LAMA4"
"378","MAN1A1"
"379","PEX7"
"380","UST"
"381","ARMT1"
"382","ESR1"
"383","ZDHHC14"
"384","LPAL2"
"385","PLG"
"386","SDK1"
"387","HDAC9"
"388","SCRN1"
"389","PPP1R17"
"390","PDE1C"
"391","GPR141"
"392","POU6F2"
"393","POU6F2"
"394","VSTM2A-OT1"
"395","ZNF479"
"396","SRRM3"
"397","ZNF804B"
"398","ANKIB1"
"399","BAIAP2L1"
"400","NRCAM"
"401","GRM8"
"402","GIMAP7"
"403","DLGAP2"
"404","LOC105377785"
"405","CSMD1"
"406","PCM1"
"407","PSD3"
"408","NRG1"
"409","NRG1-IT1"
"410","NRG1"
"411","SNTG1"
"412","ST18"
"413","LYN"
"414","TTPA"
"415","COPS5"
"416","LOC102724708"
"417","LRRCC1"
"418","CALB1"
"419","BAALC"
"420","CSMD3"
"421","TRPS1"
"422","CASC19"
"423","DMRT3"
"424","MPDZ"
"425","MTAP"
"426","LINC02872"
"427","LINC01508"
"428","LINC01508"
"429","GABBR2"
"430","ASTN2-AS1"
"431","MVB12B"
"432","MIR1268A"
"433","GLT6D1"
"434","KCNT1"
"435","ADARB2"
"436","ADARB2"
"437","CACNB2"
"438","MYO3A"
"439","MYO3A"
"440","MPP7"
"441","ARHGAP12"
"442","JMJD1C"
"443","LOC105378330"
"444","C10orf55"
"445","NUTM2B-AS1"
"446","IDE"
"447","HPSE2"
"448","CNNM1"
"449","ATRNL1"
"450","SHTN1"
"451","ADAM12"
"452","ADAM12"
"453","DOCK1"
"454","ABCC8"
"455","WT1"
"456","EHF"
"457","LRRC4C"
"458","LRRC4C"
"459","TTC17"
"460","LOC440040"
"461","LOC283194"
"462","DTX4"
"463","MS4A13"
"464","LOC101928896"
"465","CCDC83"
"466","CEP295"
"467","GUCY1A2"
"468","GUCY1A2"
"469","PKNOX2"
"470","CHEK1"
"471","ETS1"
"472","CACNA1C"
"473","NANOGNB"
"474","ETV6"
"475","RECQL"
"476","OVCH1-AS1"
"477","ADAMTS20"
"478","NELL2"
"479","CERS5"
"480","FLJ12825"
"481","SLC16A7"
"482","CPM"
"483","SYT1"
"484","LINC02426"
"485","MGAT4C"
"486","CHST11"
"487","CCDC92"
"488","ANKRD26P3"
"489","ATP8A2"
"490","NBEA"
"491","LINC00332"
"492","ITGBL1"
"493","MCF2L"
"494","LOC728755"
"495","SRP54-AS1"
"496","SLC25A21"
"497","LINC01599"
"498","RTN1"
"499","SYT16"
"500","RGS6"
"501","HHIPL1"
"502","WDR25"
"503","MEG3"
"504","MEG8"
"505","GABRG3"
"506","FAM189A1"
"507","RYR3"
"508","SECISBP2L"
"509","LINC02568"
"510","IGDCC4"
"511","MYO9A"
"512","AGBL1"
"513","MFGE8"
"514","RBFOX1"
"515","RBFOX1"
"516","GP2"
"517","GNAO1"
"518","LINC00922"
"519","TANGO6"
"520","LINC01227"
"521","ATP2C2"
"522","ZNF469"
"523","TRARG1"
"524","DHX33"
"525","XAF1"
"526","MYO1D"
"527","SP2-AS1"
"528","SPOP"
"529","CLTC"
"530","CEP112"
"531","CACNG5"
"532","MRPL58"
"533","SEPTIN9"
"534","LINC01387"
"535","NOL4"
"536","MIR924HG"
"537","MIR4527HG"
"538","CTIF"
"539","PIGN"
"540","BCL2"
"541","GIPC3"
"542","ZNF557"
"543","ZNF559-ZNF177"
"544","CACNA1A"
"545","LOC100507551"
"546","ZNF493"
"547","LOC105376917"
"548","ZNF611"
"549","BFSP1"
"550","SEC23B"
"551","SLC24A3"
"552","XKR7"
"553","PTPRT"
"554","STAU1"
"555","NFATC2"
"556","PHACTR3"
"557","MYT1"
"558","KCNJ6"
"559","FAM3B"
"560","UMODL1"
"561","TSPEAR"
"562","SGSM1"
"563","TTC28"
"564","TTC28"
"565","HORMAD2"
"566","TCN2"
"567","LINC01399"
"568","TMPRSS6"
"569","POLR2F"
"570","PLA2G5"
"571","KDM1A"
"572","RPS6KA1"
"573","MACF1"
"574","HIVEP3"
"575","RNF220"
"576","AGBL4"
"577","GLIS1"
"578","DAB1"
"579","DAB1"
"580","LINC00466"
"581","PDE4B"
"582","NEGR1"
"583","NEGR1"
"584","ST6GALNAC3"
"585","GBP3"
"586","LRRC8C"
"587","SLC44A3-AS1"
"588","SNX7"
"589","GSTM5"
"590","KCND3"
"591","LOC101928977"
"592","SPAG17"
"593","KIRREL1"
"594","NOS1AP"
