#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
1	1	249250621	47635519	218620716	87.7112	27.1058	27.9	56.5
2	1	243199373	54614431	232832655	95.7374	31.4972	27.8	56.6
3	1	198022430	42249295	190619058	96.2613	30.494	27.9	58.4
4	1	191154276	43859699	184567454	96.5542	32.6862	27.9	57.6
5	1	180915260	41699715	174480436	96.4432	32.7753	27.9	57.3
6	1	171115067	37939260	163957445	95.8171	31.2824	27.9	57.6
7	1	159138663	34983220	151892308	95.4465	30.9888	27.9	56.9
8	1	146364022	34299752	139806395	95.5196	33.2143	27.9	56.7
9	1	141213431	27410232	116900414	82.7828	27.2491	27.9	53.7
10	1	135534747	27856770	127720713	94.2347	28.8701	27.9	57.1
11	1	135006516	29412608	127326872	94.3116	30.8722	27.9	57.8
12	1	133851895	28489766	127306907	95.1103	30.2123	27.9	58.1
13	1	115169878	22410977	93997732	81.6166	27.5416	27.9	58.4
14	1	107349540	21244401	86244023	80.3394	27.737	27.9	57.5
15	1	102531392	17201633	79327564	77.3691	23.6277	27.8	55.7
16	1	90354753	22911505	75726983	83.8107	34.652	27.8	43.9
17	1	81195210	13682555	73891629	91.0049	23.7563	27.8	56.9
18	1	78077248	17136218	73300615	93.8822	31.2047	27.9	58.2
19	1	59128983	9926155	52318865	88.4826	23.0901	27.7	56.2
20	1	63025520	12619115	57537261	91.292	28.3451	27.8	58.3
21	1	48129895	8959950	34279218	71.2223	25.5635	27.8	55
22	1	51304566	7078855	32840806	64.0115	18.5978	27.7	54.4
X	1	155270560	20032670	136322208	87.7966	18.2723	27.9	55.3
Y	1	59373566	5711101	21697257	36.5436	13.1607	27.8	22.3
MT	1	16569	1910358	16569	100	15941.6	27.6	53.4
GL000207.1	1	4262	28720	4191	98.3341	859.303	27.7	53.2
GL000226.1	1	15008	484925	15008	100	4544.73	28	2.75
GL000229.1	1	19913	7517	19810	99.4827	51.9963	27.5	48.1
GL000231.1	1	27386	16288	27380	99.9781	85.6373	27.8	47.9
GL000210.1	1	27682	5888	25322	91.4746	23.8353	27.3	33.4
GL000239.1	1	33824	42321	33823	99.997	172.133	27.9	7.86
GL000235.1	1	34474	27569	34474	100	115.233	28	43.5
