chrom	MAPD	AVG_APD	STD_APD	IQR_APD
1	0.315038299673238	0.45871778330549	0.612815031373547	0.40523994347471
2	0.326801441301567	0.460081995068895	0.595591837887275	0.39409584628151
3	0.297656342662325	0.37534304585175	0.411422825956437	0.363057296371088
4	0.297743072188373	0.402844874885548	0.468115636158503	0.378093768304808
5	0.311667160149592	0.40886672621722	0.449314790718604	0.400969695803682
6	0.301826567519685	0.411225070534599	0.510093408114295	0.384411589345663
7	0.332543199382114	0.482464340938069	0.592433563057634	0.428390165463617
8	0.306905885335035	0.441167258390752	0.582639991586218	0.414298035555078
9	0.309943574368927	0.485104423557411	0.674627709995202	0.427779739694466
10	0.322645684056447	0.473544760810086	0.638036670661239	0.4249942386904
11	0.324339698540057	0.450217924254227	0.567965741477831	0.419938266997111
12	0.308230008752127	0.42823006486308	0.568586145935577	0.38598006428639
13	0.314685282454491	0.435701253432988	0.593988540374405	0.377511125876338
14	0.303751896442707	0.435596968206398	0.603025386745358	0.379641914836688
15	0.303799626645867	0.440984874310937	0.521268183314638	0.409790795137435
16	0.344416705062442	0.575885957753191	0.751437244332772	0.467588122995946
17	0.327824391913137	0.507270407578911	0.732010977902965	0.424091605740585
18	0.289233778129748	0.399533627059097	0.454323418468834	0.39257318005054
19	0.388968788844561	0.657187135588193	0.949048275531607	0.542900045429841
20	0.345212131126075	0.493456411009738	0.588686955132609	0.410204181170721
21	0.357055921566797	0.618304486052423	0.893405436538242	0.433854060013431
22	0.453033083200058	0.765489252320554	1.12061387212165	0.625622538994324
X	0.305975397996031	0.404143988807392	0.451916566324511	0.382355579127931
Y	1.18423289873898	1.59179819956038	1.86200909747185	1.43380086384371
Total	0.317222263333695	0.456800030777662	0.606609190089343	0.406762337095918
