"","ncalls","callable.sens","callable.bp","callable.burden","rate.per.gb","burden","somatic.sens","pre.genotyping.burden","unsupported.filters"
"1",111,0.152237695772553,537336387,729.122964169381,678.460440991298,3965.60204696827,0.0279907057453887,2000,FALSE
"2",360,0.345349309504468,1314520288,1042.42281681858,396.503129824111,2317.56124345648,0.155335700843481,2000,FALSE
"4",236,0.452745122824759,732674659,521.264588180549,355.727185168383,2079.22580070382,0.113503785841881,2000,FALSE
