,Classification
403,0.9626931
404,0.99422646
405,0.9963223
406,0.9723829
407,0.9824867
408,0.9785607
409,0.9998859
410,0.99625695
411,0.9765728
412,0.9922616
413,0.9950336
414,0.96109
415,0.9904384
416,0.97730416
417,0.99995327
418,0.99472946
419,0.99282455
420,0.9884929
421,0.99600357
422,0.80967915
423,0.9992631
424,0.9627805
425,0.9364985
426,0.98065716
427,0.9917195
428,0.9874493
429,0.31869903
430,0.99848396
431,0.9916893
432,0.9165745
433,0.016948313
434,0.9898543
435,0.9798442
436,0.8779143
437,0.9862357
438,0.9218229
439,0.9816767
440,0.95472413
441,0.9956092
442,0.86442477
443,0.9805089
444,0.99498355
445,0.04601887
446,0.9771503
447,0.9586641
448,0.97094685
449,0.023414852
450,0.9586066
451,0.9897237
452,0.98218715
453,0.36077538
454,0.9944449
455,0.9929797
456,0.9954725
457,0.99843985
458,0.9335722
459,0.9634738
460,0.9931605
461,0.9951828
462,0.9313221
463,0.9892167
464,0.98630166
465,0.9544958
466,0.99482226
467,0.99121654
468,0.9849931
469,0.8504865
470,0.71765137
471,0.77863204
472,0.9429101
473,0.95063525
474,0.9809343
475,0.9673345
476,0.91498727
477,0.9938757
478,0.99715424
479,0.9797958
480,0.97583133
481,0.99410075
482,0.7192156
483,0.9928347
484,0.9897193
485,0.5915018
486,0.99962115
487,0.9785033
488,0.86953294
489,0.9040177
490,0.19907285
491,0.99194676
492,0.9661936
493,0.9688785
494,0.9859687
495,0.965123
496,0.9458374
497,0.49952546
498,0.8265733
499,0.8954158
500,0.9849819
501,0.62845296
502,0.97625273
503,0.93496305
504,0.98454213
505,0.92004824
506,0.9702116
507,0.995577
508,0.94301695
509,0.36345103
510,0.85337925
511,0.991626
512,0.87895685
513,0.1034139
514,0.97328025
515,0.96864253
516,0.98744965
517,0.8925031
518,0.99478006
519,0.98749536
520,0.9556499
521,0.9931572
522,0.8978003
523,0.99490273
524,0.96852934
525,0.9281219
526,0.95955694
527,0.9630922
528,0.9864786
529,0.98456717
530,0.91124123
531,0.9834524
532,0.97597855
533,0.01784416
534,0.5753188
535,0.9931411
536,0.9678535
537,0.5054121
538,0.9971464
539,0.99371207
540,0.983071
541,0.95961696
542,0.9131857
543,0.9975509
544,0.9466051
545,0.9832907
546,0.9959722
547,0.722497
548,0.91647553
549,0.6792107
550,0.99628603
551,0.94644177
552,0.97686315
553,0.35335815
554,0.99285287
555,0.98170805
556,0.9848149
557,0.9892616
558,0.9508901
559,0.99320436
560,0.9940843
561,0.8912606
562,0.55982864
563,0.9982223
564,0.98354715
565,0.98529774
566,0.93751556
567,0.9930056
568,0.93986195
569,0.9999608
570,0.9990264
571,0.9779438
572,0.97782934
573,0.9754072
574,0.99768627
575,0.92487216
576,0.95423627
577,0.9918643
578,0.9991191
579,0.71254927
580,0.9852465
581,0.96462893
582,0.97981936
583,0.9892322
584,0.86310035
585,0.99995995
586,0.6486194
587,0.97251004
588,0.98870635
589,0.4327078
590,0.8887291
591,0.99302214
592,0.79396516
593,0.99446386
594,0.91374624
595,0.9691704
596,0.99282634
597,0.9988335
598,0.9132963
599,0.9929588
600,0.9691102
601,0.9636571
602,0.9690785
603,0.99541
604,0.9698868
605,0.9929518
606,0.99488443
607,0.99059135
608,0.93135476
609,0.9557347
610,0.9926846
611,0.98910147
612,0.9445771
613,0.9997298
614,0.9657408
615,0.9309342
616,0.9950347
617,0.9568046
618,0.98839134
619,0.8015464
620,0.8462307
621,0.98302585
622,0.98860043
623,0.97515863
624,0.98375595
625,0.090793334
626,0.9944957
627,0.98110515
628,0.99323153
629,0.97393984
630,0.961091
631,0.9883078
632,0.93808734
633,0.6324436
634,0.9735873
635,0.9872996
636,0.9798568
637,0.43128124
638,0.4317758
639,0.99844164
640,0.98526645
641,0.0868087
642,0.99857795
643,0.98668784
644,0.9419554
645,0.85759103
646,0.99662906
647,0.6170137
648,0.9807381
649,0.99304104
650,0.96982086
651,0.9617529
652,0.995259
653,0.9512221
654,0.9943494
655,0.72908074
656,0.95937896
657,0.99977857
658,0.89247507
659,0.997785
660,0.79183334
661,0.97284734
662,0.8503948
663,0.99032813
664,0.9860216
665,0.999923
666,0.9808523
667,0.7507204
668,0.97248954
669,0.92584395
670,0.9802198
671,0.96452135
672,0.99466765
673,0.94574404
674,0.97463405
675,0.99541795
676,0.983888
677,0.7265154
678,0.930886
679,0.9465047
680,0.99396825
681,0.99737644
682,0.9967706
683,0.9502262
684,0.9467317
685,0.99991477
686,0.9910835
687,0.989431
688,0.9646676
689,0.034955528
690,0.9805784
691,0.99109346
692,0.8514401
693,0.36703682
694,0.9911273
695,0.9584247
696,0.9707262
697,0.9970872
698,0.8208763
699,0.91381025
700,0.9358012
701,0.048918474
702,0.8147596
703,0.92506826
704,0.97989905
705,0.9883739
706,0.8951461
707,0.83401036
708,0.9555124
709,0.8993389
710,0.9514379
711,0.4735107
712,0.98613226
713,0.9930814
714,0.9978855
715,0.96112424
716,0.64837474
717,0.9952447
718,0.6829658
719,0.99439055
720,0.95101935
721,0.015707571
722,0.99493116
723,0.9720927
724,0.83614683
725,0.981783
726,0.888158
727,0.9872486
728,0.9801215
729,0.99805367
730,0.99136645
731,0.98939764
732,0.96668
733,0.99845684
734,0.9888144
735,0.9953055
736,0.8821488
737,0.5168842
738,0.9890205
739,0.9842376
740,0.9555724
741,0.73028976
742,0.99075866
743,0.833295
744,0.9959533
745,0.3369478
746,0.57393277
747,0.93998337
748,0.9874256
749,0.9962574
750,0.9707045
751,0.97807795
752,0.99271905
753,0.68864965
754,0.90441525
755,0.9781895
756,0.9953382
757,0.9811288
758,0.9922322
759,0.6999546
760,0.9934807
761,0.22235544
762,0.99055254
763,0.9614392
764,0.98891336
765,0.9933975
766,0.9920964
767,0.98969406
768,0.98004526
769,0.9903205
770,0.9962865
771,0.48231292
772,0.99455583
773,0.72560656
774,0.9636448
775,0.9871552
776,0.94464517
777,0.9970175
778,0.9861691
779,0.9821666
780,0.97666353
781,0.5359331
782,0.9972187
783,0.8699159
784,0.9600773
785,0.96083426
786,0.9881486
787,0.99103594
788,0.9373603
789,0.98889565
790,0.18043716
791,0.9885515
792,0.98923534
793,0.98813105
794,0.86512953
795,0.98953944
796,0.9824024
797,0.99956363
798,0.94757366
799,0.9967296
800,0.984209
801,0.16156825
802,0.99631447
803,0.14184298
804,0.97715956
805,0.99582076
806,0.99613804
807,0.96820104
808,0.97447395
809,0.9925592
810,0.99552286
811,0.8960341
812,0.9622776
813,0.9964234
814,0.9931492
815,0.97908646
816,0.9771388
817,0.989307
818,0.989451
819,0.9947127
820,0.9363751
821,0.8541988
822,0.98549426
823,0.9895148
824,0.97977054
825,0.89511615
