GO:0008528	GO:0016339	GO:0001653	GO:0071805	GO:0005249	GO:0006813	GO:0022890	GO:0098797	GO:0005267	GO:0005244	GO:0022832	GO:0008324	GO:0031256	GO:0032589	GO:0043025	GO:1901379	GO:0007189	GO:0097060	GO:0035254	GO:0004222	GO:0008237	GO:0042734	GO:0045296	GO:0052652	GO:0009187	GO:0045824	GO:0045211	GO:0034702	GO:0099095	GO:0098660	GO:0034220	GO:1902495	GO:0060079	GO:0007188	GO:0098655	GO:0004114	GO:0030594	GO:0046928	GO:0031348
0	0	0	0.0730117340286832	0	0.029335071707953	-0.331886181265877	0.319426336375489	0	0	0	-0.2841436040807	0.279661016949153	0	-0.632370730789392	0	0.679921773142112	-0.485117407492036	0	0	0.292046936114733	0	0.870925684485007	0	0	0	0.0664928292046936	0.0580182529335072	0	-0.151231871396121	-0.202791704189572	0.0149934810951761	0	0.29986962190352	-0.369998252664686	0	0	0	0.589960886571056
0	0	0	0.364459930313589	0	0.21184668989547	0.176306620209059	0.253771861574372	0.692682926829268	0.601393728222997	0.600696864111498	0.0857142857142857	0.44390243902439	0	0.560278745644599	0	0	0.170034843205575	0	0.713588850174216	0.981881533101045	0	0.471080139372822	0	0	0.990940766550523	0.226480836236934	0.759581881533101	0	0.191727275802578	0.077972666689219	0.525435540069686	0	0.0912891986062718	0.183919691485403	0	0	0	0.779094076655052
0	0	0	0.326693227091634	0	0.472111553784861	0.65020284160163	0.390438247011952	0	0.679946879150066	0.679282868525896	0.737406538230639	0.302124833997344	0	0.468791500664011	0	0.464143426294821	-0.0785988466226418	0	0.807436918990704	0.763612217795485	0	0.000664010624169986	0	0	0	0.460159362549801	0.5132802124834	0	0.439556841128636	0.468354890938529	0.764276228419655	0	0.883798140770252	0.470774436500573	0	0	0	0.333997343957503
0.707064160725859	0	0.849643551523007	0.126377187297472	0	0.0635126377187297	-0.752691714139421	-0.25352599334725	0	0.729747245625405	0.729099157485418	-0.78747721844867	0.248217757615036	0	-0.271670670968158	0	0	0.73298768632534	0	0	0	0.869734283862605	0.643551523007129	0	0	0	0.57550226830849	0.637718729747246	0	-0.729847502354243	-0.421660108205655	0.480233311730395	0	0.491898898250162	-0.714366789242453	0	0	0	0.856772521062865
0.713277742142399	0	0.872995509942271	0.946760744066709	0	0.91276459268762	-0.143841408735667	0.522815684247141	0.560615779345734	0.372674791533034	0.372033354714561	-0.227746769679505	0.577934573444516	0	0.0384862091084028	0.923669018601668	0.507376523412444	0.0821039127645927	0	0	0	0	0.617062219371392	0	0	0	0.114817190506735	-0.495077530883108	0	-0.16987544637301	-0.307833826378052	-0.364535564639918	0.532392559332906	0.342527261064785	-0.127414562849639	0	0	0	0.516998075689545
0	0	0	0	0	0.0671908506075768	0.445644800976501	0.659919498349003	0	0.769835596854896	0.769120800571837	0.626161543959971	0	0	-0.0984445303158206	0	0	0.783416726233024	0	0	0.199428162973553	0.381701215153681	-0.553038381741018	0	0	0	0.951393852751966	0.559685489635454	0	-0.434380540293116	-0.150944741769477	0.504646175839886	0.718370264474625	0.2337383845604	-0.558861234988863	0	0	0	0.649749821300929
0.377720870678617	0	0.326504481434059	0.311779769526248	0	0.435339308578745	0.208491649577187	0.88348271446863	0.854033290653009	0.52112676056338	0.520486555697823	0.0536349409588847	0.195262483994878	0	0.00787157039304065	0	0	0.534571062740077	0	0	0.408450704225352	0.605633802816901	-0.652821585834296	0	0	0	0.852112676056338	0.825224071702945	0	0.602606275742655	0.212867250311428	0.886043533930858	0	0.500640204865557	0.578861441623379	0	0	0	0.00448143405889889
0	0	0	0.5890603085554	0	0.625525946704067	0.748948106591865	0.200561009817672	0	0	0	0.688639551192146	0.218793828892006	0	0.375175315568022	0	0.655680224403927	0.753155680224404	0	0	0.244740532959327	0.55820476858345	0.922861150070126	0	0	0	0.593267882187938	0.277699859747546	0	0.494458317654705	0.651138173373319	0.79523141654979	0	0.579242636746143	0.300828211648175	0	0	0	0.408835904628331
0.580842391304348	0	0.517663043478261	0.202445652173913	0	0.166440217391304	-0.423494983277592	0.694972826086957	0	0	0	-0.278532608695652	0	0	-0.483956939799331	0	0.929347826086957	-0.275553929765886	0	0	0.746603260869565	0	0.294836956521739	0	0	0	0.757472826086957	0.120244565217391	0	-0.432169732441471	-0.467077759197324	0.101902173913043	0	0.896739130434783	-0.492840719063545	0	0	0	0.432744565217391
0.955418381344307	0	0.982167352537723	0.869684499314129	0	-0.0695844502334479	0.411594996287487	0.328299417324222	0	0.732510288065844	0.731824417009602	0.288317539421855	0	0	0.00548696844993146	0.916323731138546	0	0.689300411522634	0	0.830589849108368	0.588477366255144	0.970507544581619	0.274348422496571	0	0	0	0.172153635116598	0.97599451303155	0	0.0530008431809315	0.142510162217943	0.99519890260631	0	0.897805212620027	-0.121946615320723	0	0	0	0.814814814814815
