"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CAVIN42",1.62835766229311e-34,1.05232957182102,0.479,0.143,4.89695999781407e-30,"14","CAVIN4"
"SRSF71",4.40313961489615e-29,1.05191855494713,0.27,0.063,1.32415617638772e-24,"14","SRSF7"
"XYLT1",5.11587861757309e-09,1.04683103727194,0.109,0.033,0.000153849817666276,"14","XYLT1"
"SLC39A101",3.60366430519088e-16,1.04477547012633,0.303,0.109,1.08372996650005e-11,"14","SLC39A10"
"PAICS",1.42868917635544e-09,1.04256119031825,0.104,0.03,4.29649696005371e-05,"14","PAICS"
"ARL13B1",4.3389300391495e-11,1.03640115258234,0.199,0.071,1.30484643067343e-06,"14","ARL13B"
"AC096589.2",2.41347939442328e-19,1.03487836535683,0.161,0.037,7.25805658284914e-15,"14","AC096589.2"
"CD631",3.86001391357266e-12,1.03435392488913,0.18,0.058,1.16082198422871e-07,"14","CD63"
"EDNRA1",4.89944949451666e-34,1.0339786160755,0.564,0.192,1.473411446486e-29,"14","EDNRA"
"SCML1",1.2765137730457e-15,1.0337026452332,0.204,0.06,3.83885986968035e-11,"14","SCML1"
"RWDD11",5.3855308896689e-20,1.03326578690255,0.223,0.06,1.61959070445013e-15,"14","RWDD1"
"RAB11A2",9.08238721057746e-18,1.03216316887064,0.199,0.054,2.73134630583696e-13,"14","RAB11A"
"SSBP1",3.09184630844816e-12,1.03200889976284,0.199,0.067,9.29810940339617e-08,"14","SSBP1"
"ATP6V1G1",4.23334025993566e-14,1.0319388065752,0.128,0.031,1.27309241637045e-09,"14","ATP6V1G1"
"SMIM20",4.97347376765773e-15,1.03039025405691,0.137,0.033,1.49567276614771e-10,"14","SMIM20"
"DOK52",3.30312514891017e-28,1.02922855474021,0.483,0.165,9.93348826031757e-24,"14","DOK5"
"AL365434.1",1.20306600445321e-13,1.02743742471855,0.19,0.06,3.61798039519215e-09,"14","AL365434.1"
"ATP10D2",3.96267003683263e-28,1.02434941360035,0.384,0.112,1.19169376017668e-23,"14","ATP10D"
"TRIM232",7.50659483171886e-13,1.02007382837475,0.199,0.065,2.25745826374281e-08,"14","TRIM23"
"LINC007021",8.61482925375352e-23,1.01907959428964,0.332,0.104,2.59073760148129e-18,"14","LINC00702"
"HECW21",1.00003765020489e-29,1.01897020509057,0.825,0.418,3.00741322546116e-25,"14","HECW2"
"HRH21",8.68607622112635e-31,1.01695692053229,0.55,0.188,2.61216370197933e-26,"14","HRH2"
"STK17A1",1.31480085356733e-17,1.01385144688151,0.332,0.121,3.95400060693302e-13,"14","STK17A"
"TIMP11",5.83661249337058e-38,1.0123281560204,0.251,0.047,1.75524447513134e-33,"14","TIMP1"
"OARD1",2.86288006565431e-16,1.01220769838787,0.161,0.041,8.60953922144222e-12,"14","OARD1"
"CMTM4",3.02985801485819e-14,1.00864577547732,0.194,0.06,9.11169200808305e-10,"14","CMTM4"
"UGP2",3.38114663710079e-32,1.0071136714607,0.692,0.275,1.01681222817532e-27,"14","UGP2"
"HMGCS2",4.48413358801859e-36,1.00533864461621,0.261,0.052,1.34851349392483e-31,"14","HMGCS2"
"TSC22D2",4.3276524942577e-29,1.00439181965077,0.659,0.266,1.30145493459812e-24,"14","TSC22D2"
"DNAJA11",9.99031913714816e-13,0.998682253149785,0.213,0.073,3.00438867411457e-08,"14","DNAJA1"
"DOK6",1.98506410147735e-09,0.996083952583761,0.171,0.064,5.96968327237283e-05,"14","DOK6"
"PDGFD1",3.0276786643086e-09,0.995431175943843,0.218,0.091,9.10513804717524e-05,"14","PDGFD"
"SFRP11",9.8878100068826e-12,0.992705239887814,0.237,0.092,2.9735611033698e-07,"14","SFRP1"
"CTXND11",1.91976516989973e-17,0.985434977848339,0.261,0.084,5.77330979543946e-13,"14","CTXND1"
"PKD21",9.44458783965717e-22,0.983301048555813,0.464,0.177,2.8402709010201e-17,"14","PKD2"
"IFI27",7.19229899527242e-31,0.983127215621228,0.199,0.037,2.16294007684827e-26,"14","IFI27"
"GJA3",1.57900106978811e-13,0.981288506417145,0.166,0.048,4.74852991717379e-09,"14","GJA3"
"GPA33",1.93760367181726e-11,0.98124030095379,0.118,0.032,5.82695552225604e-07,"14","GPA33"
"INTS12",1.34586305481603e-13,0.978240904513266,0.18,0.055,4.04741396474826e-09,"14","INTS12"
"PROM11",3.226042923714e-16,0.978030829394391,0.265,0.09,9.70167888448512e-12,"14","PROM1"
"RPL341",2.50250012136928e-26,0.972983208724187,0.28,0.071,7.52576861499383e-22,"14","RPL34"
"PXYLP1",2.85814575886171e-22,0.969932558179173,0.445,0.159,8.59530174062483e-18,"14","PXYLP1"
"CNTN31",2.23045156011822e-17,0.967453744380055,0.336,0.122,6.70763697674351e-13,"14","CNTN3"
"COX17",6.5661895794911e-22,0.965944685883124,0.199,0.047,1.97465019224036e-17,"14","COX17"
"GRID1",1.50560469994318e-11,0.956228806395691,0.185,0.063,4.52780501413913e-07,"14","GRID1"
"RYBP",6.07921991610512e-16,0.953732117456648,0.336,0.125,1.82820380537029e-11,"14","RYBP"
"DKK32",8.20687702417105e-32,0.949181325357754,0.464,0.139,2.46805412747896e-27,"14","DKK3"
"DYRK4",2.18647678149088e-09,0.949000104345457,0.114,0.034,6.57539162497752e-05,"14","DYRK4"
"C1orf131",3.21530172215405e-07,0.946091691964762,0.114,0.04,0.00966937686903388,"14","C1orf131"
