"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SRPX2",3.61520672650535e-227,6.91530037997958,0.161,0.003,1.08720111886195e-222,"9","SRPX2"
"SCARA5",5.07417648853015e-149,5.96390083575772,0.152,0.005,1.52595709539567e-144,"9","SCARA5"
"TCF21",1.60538564283315e-190,5.95712350377304,0.184,0.005,4.82787624369213e-186,"9","TCF21"
"COL12A1",3.4926319507749e-152,5.86451676347557,0.215,0.01,1.05033920655654e-147,"9","COL12A1"
"NOX4",9.28789365803832e-98,5.85484892298002,0.152,0.008,2.79314825978186e-93,"9","NOX4"
"DPT",2.77778128636609e-119,5.8207035365429,0.148,0.006,8.35362166248875e-115,"9","DPT"
"PLTP",2.00892807332343e-96,5.76806713283026,0.103,0.003,6.04144939490556e-92,"9","PLTP"
"CCDC80",1.59676515431413e-139,5.76578438380674,0.314,0.026,4.80195184856887e-135,"9","CCDC80"
"SULF1",7.02193043027089e-132,5.74470659566835,0.152,0.005,2.11170513829536e-127,"9","SULF1"
"SERPINF1",3.81692472145339e-94,5.72632199594897,0.197,0.015,1.14786377148268e-89,"9","SERPINF1"
"ZFP36",5.53174443346137e-87,5.71381204015287,0.233,0.023,1.66356150347484e-82,"9","ZFP36"
"SOD3",3.84013664122315e-116,5.68381055929797,0.152,0.007,1.15484429211504e-111,"9","SOD3"
"PI16",8.86716178461266e-101,5.66883468967511,0.126,0.005,2.66662156348657e-96,"9","PI16"
"ADH1B",5.18915423893629e-104,5.66417896452901,0.135,0.006,1.56053435427531e-99,"9","ADH1B"
"CCL2",4.06908666873925e-41,5.64037688647486,0.121,0.013,1.22369643388996e-36,"9","CCL2"
"PRELP",8.16281367945891e-111,5.62145726614934,0.157,0.007,2.45480295782368e-106,"9","PRELP"
"IGF1",2.4922982882879e-65,5.60807439057623,0.108,0.006,7.49508864236819e-61,"9","IGF1"
"CDH19",6.50383982235962e-127,5.5627854999031,0.323,0.031,1.95589974977821e-122,"9","CDH19"
"THBS2",2.66541988559536e-152,5.53367760324742,0.202,0.009,8.01571722195091e-148,"9","THBS2"
"MEG8",6.97514113144943e-167,5.50342627107145,0.215,0.009,2.09763419246079e-162,"9","MEG8"
"MEG3",6.92778390404883e-129,5.4715957532281,0.215,0.012,2.0833924534646e-124,"9","MEG3"
"COL6A3",2.69636985783088e-139,5.46651919790027,0.314,0.026,8.1087930734548e-135,"9","COL6A3"
"COL8A1",5.92257041399993e-153,5.39330563850841,0.265,0.016,1.7810946006022e-148,"9","COL8A1"
"F2R",1.42785923382582e-94,5.39128635350595,0.121,0.005,4.29400107388438e-90,"9","F2R"
"KCNT2",7.30470996274438e-70,5.3891371118665,0.13,0.008,2.19674542709612e-65,"9","KCNT2"
"COL4A4",1.72240525061534e-109,5.3864114552259,0.251,0.021,5.17978931017551e-105,"9","COL4A4"
"BGN",1.61198405112727e-88,5.36512571073974,0.117,0.005,4.84771963695503e-84,"9","BGN"
"PDGFRA",3.57643229200083e-147,5.36053359057627,0.229,0.012,1.07554048317341e-142,"9","PDGFRA"
"TFPI",3.84080979790791e-133,5.3448460701617,0.287,0.023,1.15504673052485e-128,"9","TFPI"
"COL3A1",1.06668080041384e-99,5.34118490435794,0.22,0.017,3.20782917108453e-95,"9","COL3A1"
"PTGIS",5.98939532286925e-57,5.30853757462318,0.13,0.011,1.80119085544647e-52,"9","PTGIS"
"COL5A1",2.17308838323593e-118,5.29973468078116,0.161,0.007,6.5351286949054e-114,"9","COL5A1"
"GFPT2",9.83015071236595e-95,5.28358806528985,0.148,0.008,2.95622122372981e-90,"9","GFPT2"
"BICC1",9.77298492900111e-128,5.26736420947735,0.265,0.02,2.9390297576985e-123,"9","BICC1"
"SCN7A",6.81943899763676e-103,5.26502213198078,0.314,0.036,2.0508098897593e-98,"9","SCN7A"
"SERPINE1",1.86014663627162e-59,5.24874731602609,0.126,0.009,5.59401897925964e-55,"9","SERPINE1"
"MFAP5",2.98121694371493e-110,5.21497487121384,0.188,0.011,8.96541371483391e-106,"9","MFAP5"
"SPRY1",3.82937424169321e-84,5.21229700129158,0.206,0.018,1.1516077157044e-79,"9","SPRY1"
"IGFBP3",1.8916143014473e-61,5.21086045733492,0.148,0.013,5.68865168874245e-57,"9","IGFBP3"
"VCAN",3.79263190976855e-132,5.20336537023022,0.256,0.018,1.1405581942247e-127,"9","VCAN"
