"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"OGN",4.90648201881796e-114,5.26887619887959,0.242,0.011,1.47552633751912e-109,"9","OGN"
"VGLL3",1.55424609231855e-68,5.26623416097863,0.14,0.006,4.67408427342957e-64,"9","VGLL3"
"COL6A3",1.47699083007821e-267,5.26001324656865,0.591,0.033,4.44175452329421e-263,"9","COL6A3"
"PTGIS",8.92620312445025e-172,5.25039537935719,0.352,0.015,2.68437706561592e-167,"9","PTGIS"
"FIBIN",4.28767418927836e-71,5.24699062225235,0.129,0.004,1.28943225894168e-66,"9","FIBIN"
"DCN",3.53430556561865e-158,5.24632822596627,0.761,0.166,1.0628717127485e-153,"9","DCN"
"LPAR1",4.50791002404091e-161,5.2437736031698,0.307,0.011,1.35566378152982e-156,"9","LPAR1"
"FNDC1",9.74445598153905e-84,5.2333842544625,0.155,0.005,2.93045024732824e-79,"9","FNDC1"
"GNG2",7.11406825608341e-61,5.22864331450135,0.125,0.005,2.13941374665196e-56,"9","GNG2"
"ABCA10",1.19225596357091e-214,5.22021636176269,0.644,0.064,3.58547135924681e-210,"9","ABCA10"
"APOD",2.7925640087403e-134,5.21100949048856,0.663,0.131,8.39807774348471e-130,"9","APOD"
"OLFML1",1.27740955684161e-71,5.20762984627478,0.136,0.005,3.84155376028977e-67,"9","OLFML1"
"PRRT2",7.39972037113489e-79,5.1867387680393,0.167,0.007,2.2253179072114e-74,"9","PRRT2"
"SERPINF1",8.43659624682064e-220,5.18108526415765,0.455,0.02,2.53713758930637e-215,"9","SERPINF1"
"MEG8",1.77917753726515e-176,5.15805353026367,0.341,0.012,5.35052060781748e-172,"9","MEG8"
"MGP",8.28383994834408e-182,5.15073675174872,0.758,0.13,2.49119918766551e-177,"9","MGP"
"ABCA6",8.28417164216707e-221,5.14919510713184,0.587,0.047,2.4912989379489e-216,"9","ABCA6"
"CNKSR2",3.5364135486448e-62,5.14579556905816,0.125,0.005,1.06350564648395e-57,"9","CNKSR2"
"FMO2",1.85648885417901e-209,5.14160024956764,0.47,0.025,5.58301893117253e-205,"9","FMO2"
"AEBP1",7.33823012642093e-101,5.13442418341283,0.208,0.009,2.20682594591857e-96,"9","AEBP1"
"SVEP1",1.21005224344125e-141,5.13143347316954,0.292,0.012,3.63899011170087e-137,"9","SVEP1"
"NNMT",9.72505834020913e-96,5.12552511614539,0.212,0.01,2.92461679465109e-91,"9","NNMT"
"GFRA1",7.34066849472792e-73,5.12462697186089,0.14,0.005,2.20755923641953e-68,"9","GFRA1"
"CFH",4.46334923034373e-172,5.12378614982432,0.375,0.018,1.34226301404127e-167,"9","CFH"
