"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PTPRB",9.60170580397332e-96,5.0860758372422,0.106,0.008,2.8875209864289e-91,"11","PTPRB"
"ADGRF5",1.34145126220038e-86,4.84260227925109,0.106,0.009,4.03414638081519e-82,"11","ADGRF5"
"VWF",1.57420050739717e-54,4.81885210156793,0.106,0.014,4.73409318589552e-50,"11","VWF"
"ST6GALNAC3",2.1541987657558e-59,4.7358356643585,0.121,0.017,6.47832194825742e-55,"11","ST6GALNAC3"
"MTRNR2L1",1.53460186726203e-300,4.68700961176518,0.256,0.012,4.6150081954171e-296,"11","MTRNR2L1"
"MT-ND3",0,4.67748752632444,0.919,0.353,0,"11","MT-ND3"
"MT-ATP6",0,4.62869483680647,0.917,0.39,0,"11","MT-ATP6"
"MT-ND4",0,4.61493677742543,0.911,0.303,0,"11","MT-ND4"
"MT-ND2",0,4.60759804400448,0.848,0.179,0,"11","MT-ND2"
"MT-ND1",0,4.6056912735135,0.873,0.188,0,"11","MT-ND1"
"LDB2",7.65457499439339e-67,4.57273921492599,0.125,0.016,2.30196033806392e-62,"11","LDB2"
"MT-CO2",0,4.55958753226064,0.945,0.394,0,"11","MT-CO2"
"MT-CYB1",0,4.50396664570858,0.943,0.423,0,"11","MT-CYB"
"EMCN",7.23514030078379e-59,4.49150683102915,0.1,0.012,2.17582374265471e-54,"11","EMCN"
"MECOM1",5.47095851186352e-74,4.49028910168207,0.131,0.016,1.64528135327272e-69,"11","MECOM"
"MT-CO3",0,4.42720390811514,0.951,0.475,0,"11","MT-CO3"
"MT-ND51",0,4.14781818443733,0.682,0.088,0,"11","MT-ND5"
"MTRNR2L121",0,3.91031628404819,0.883,0.264,0,"11","MTRNR2L12"
"MTRNR2L81",0,3.90320317152371,0.436,0.042,0,"11","MTRNR2L8"
"FLT1",1.87904217650467e-29,3.88496464325322,0.116,0.029,5.65084353740251e-25,"11","FLT1"
"MT-CO11",0,3.69256772694567,0.955,0.371,0,"11","MT-CO1"
"HLA-E1",4.63212514973279e-47,3.6593135878399,0.1,0.015,1.39301899627914e-42,"11","HLA-E"
"PLEKHG1",2.05524753370765e-29,3.29380716784038,0.104,0.024,6.18074590811901e-25,"11","PLEKHG1"
"F8",3.1800665332087e-31,3.28165820686856,0.114,0.027,9.56341408531853e-27,"11","F8"
"MT-ATP81",2.5012094468015e-157,3.10321601404602,0.337,0.051,7.52188716936615e-153,"11","MT-ATP8"
"ELMO11",1.50164862278691e-25,3.09943254941378,0.102,0.026,4.51590790330706e-21,"11","ELMO1"
"EBF11",3.43272413425968e-29,3.08481220420225,0.102,0.023,1.03232312889591e-24,"11","EBF1"
"MGLL",2.05211140289187e-13,3.01744452982779,0.138,0.062,6.17131462191672e-09,"11","MGLL"
"MT-ND4L1",8.3685841737995e-238,3.00598321993882,0.553,0.095,2.51668431858672e-233,"11","MT-ND4L"
"HLA-B1",1.72895987783074e-15,2.8561166917818,0.11,0.04,5.19950104060039e-11,"11","HLA-B"
"PLXDC21",5.22508148343418e-14,2.83314823662823,0.114,0.045,1.57133875451316e-09,"11","PLXDC2"
"AKT31",6.05851049889137e-29,2.62663040850337,0.117,0.03,1.8219758623316e-24,"11","AKT3"
"EPB41L21",4.56406008746384e-20,2.57564893337923,0.11,0.034,1.372549790103e-15,"11","EPB41L2"
"SEC14L1",1.92855167813327e-13,2.55343555375084,0.129,0.055,5.79973346165018e-09,"11","SEC14L1"
"TCF41",4.94235818023479e-11,2.49396877270728,0.188,0.105,1.48631537554201e-06,"11","TCF4"
"FABP5",2.96834921291062e-12,2.34984534024116,0.114,0.048,8.9267165879861e-08,"11","FABP5"
"ITGA6",1.40763684295171e-07,2.20929199387693,0.127,0.07,0.00423318627780868,"11","ITGA6"
"RFTN11",1.77055880697178e-13,2.19627396519785,0.14,0.062,5.32460150020622e-09,"11","RFTN1"
"PLCB11",2.13267582849624e-09,2.07325839291559,0.146,0.078,6.41359601903674e-05,"11","PLCB1"
"TACC1",1.47379456360521e-06,1.96548927248616,0.159,0.101,0.0443214239112994,"11","TACC1"
"TMSB101",7.63660337268067e-09,1.89314573418822,0.127,0.065,0.000229655573226626,"11","TMSB10"
"FTL1",7.51584551390851e-14,1.81880838946912,0.134,0.057,2.2602402213977e-09,"11","FTL"
"EPAS11",7.80090823953213e-09,1.7235310961787,0.199,0.124,0.00023459671348745,"11","EPAS1"
"FP236383.3",6.62582323947951e-22,1.70074315449001,0.178,0.069,1.99258382280867e-17,"11","FP236383.3"
"PITPNC1",1.0131564461025e-07,1.69586810944029,0.167,0.1,0.00304686538036405,"11","PITPNC1"
"LINC016951",2.92288194073483e-07,1.6452066345918,0.117,0.064,0.00878998286037187,"11","LINC01695"
"RPS191",2.05017136250494e-14,1.63454559928233,0.157,0.07,6.16548033846112e-10,"11","RPS19"
"HPCAL1",2.51744301634761e-09,1.62283184443522,0.114,0.055,7.57070638306218e-05,"11","HPCAL1"
"RIN3",2.54422585291183e-07,1.55240093292047,0.1,0.05,0.00765125040746176,"11","RIN3"
"ETS11",3.24964932204633e-09,1.51038175360926,0.127,0.064,9.77267040618993e-05,"11","ETS1"
"RPL281",1.11293310494007e-10,1.5081560523724,0.167,0.087,3.34692372648628e-06,"11","RPL28"
"RPS181",2.41471186523855e-13,1.49026733437273,0.121,0.049,7.2617629923319e-09,"11","RPS18"
"EEF1A11",7.0725885731824e-12,1.45459209764183,0.15,0.071,2.12693956161314e-07,"11","EEF1A1"
"RPL181",5.48788803248811e-08,1.43477988613816,0.125,0.066,0.00165037256801015,"11","RPL18"
"RPS31",4.93050714744463e-12,1.40982030582156,0.167,0.083,1.48275141445102e-07,"11","RPS3"
"RPS151",2.50491373028294e-11,1.39204697510461,0.133,0.061,7.53302706107988e-07,"11","RPS15"
"JAM2",3.41498528023305e-08,1.34891567905364,0.104,0.05,0.00102698852332448,"11","JAM2"
"RPL42",1.70763650890995e-15,1.32997292751661,0.125,0.047,5.1353752732449e-11,"11","RPL4"
"RPS251",3.94653008724238e-10,1.32759377553742,0.119,0.055,1.1868399931364e-05,"11","RPS25"
"ZFP36L11",1.81607110806061e-11,1.30271478140025,0.157,0.078,5.46147064327067e-07,"11","ZFP36L1"
"APBB2",1.04687616667861e-09,1.30092003818901,0.233,0.144,3.14827069605259e-05,"11","APBB2"
"RPS281",7.9848836907387e-13,1.27714779901523,0.223,0.122,2.40129407231585e-08,"11","RPS28"
"RPS61",1.05719902374493e-08,1.25223510668663,0.129,0.066,0.000317931462410814,"11","RPS6"
"DGKH2",1.26196156219597e-06,1.23490308435465,0.216,0.145,0.0379509700599193,"11","DGKH"
"RPS27A1",3.48107660105983e-09,1.23235474883627,0.121,0.058,0.000104686416623672,"11","RPS27A"
"RPL131",2.79980136838705e-17,1.21222897137171,0.28,0.151,8.41984265515038e-13,"11","RPL13"
"CTTNBP2NL",1.15810761953309e-09,1.18970541267382,0.125,0.06,3.48277704422185e-05,"11","CTTNBP2NL"
"RPSA1",8.85720460004245e-09,1.1678258511439,0.121,0.06,0.000266362713937077,"11","RPSA"
"SASH11",4.03673334915972e-09,1.15945723850343,0.275,0.185,0.00012139668200928,"11","SASH1"
"RPL13A1",1.94297964909766e-12,1.14697155917158,0.188,0.095,5.84312269873139e-08,"11","RPL13A"
"HSP90AA11",4.39376548523284e-13,1.14566507253647,0.337,0.217,1.32133709437407e-08,"11","HSP90AA1"
"SRP141",8.03527204616304e-12,1.14104082359473,0.11,0.045,2.41644736244261e-07,"11","SRP14"
"TIMP31",2.87111477595096e-07,1.13587825885408,0.303,0.22,0.00863430346571732,"11","TIMP3"
"RPL351",1.49260073336554e-10,1.12953676311484,0.134,0.064,4.48869818545019e-06,"11","RPL35"
"S100A1",1.82712530147005e-09,1.12933380896024,0.127,0.062,5.49471391911088e-05,"11","S100A1"
"RTN41",3.28135383690189e-07,1.12886521609539,0.11,0.057,0.00986801539371505,"11","RTN4"
"GPC1",8.62518481016648e-11,1.12006484291106,0.172,0.091,2.59385182796137e-06,"11","GPC1"
"RPS271",1.30660002158704e-06,1.07350437905268,0.136,0.079,0.0392933824491869,"11","RPS27"
