"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"C22orf34",2.80582418884223e-69,6.47923389427241,0.128,0.002,8.43795508310523e-65,"11","C22orf34"
"ST8SIA6",1.18356683244438e-38,6.44409689096024,0.103,0.004,3.55934053520999e-34,"11","ST8SIA6"
"LNX1",1.06987296076249e-72,6.36495713451612,0.179,0.006,3.21742895490103e-68,"11","LNX1"
"ANO2",2.5410268989933e-94,6.34498107253736,0.265,0.01,7.64163019334254e-90,"11","ANO2"
"ZNF366",4.09776405343503e-46,6.31408356363045,0.103,0.003,1.23232058378952e-41,"11","ZNF366"
"KDR",8.91560931659983e-56,6.20595482776416,0.154,0.006,2.68119118978107e-51,"11","KDR"
"DIPK2B",1.625452842233e-49,6.20525357450402,0.111,0.003,4.8882243324473e-45,"11","DIPK2B"
"PTPRB",8.04736452986041e-87,6.16039087029076,0.256,0.011,2.42008393506492e-82,"11","PTPRB"
"SNTG2",6.30948084500944e-42,5.98007205091293,0.111,0.004,1.89745017451969e-37,"11","SNTG2"
"BTNL9",1.11610599324307e-78,5.95671483908871,0.239,0.011,3.35646555347988e-74,"11","BTNL9"
"ST6GALNAC3",7.26094450096088e-79,5.94798537051013,0.359,0.028,2.18358383977396e-74,"11","ST6GALNAC3"
"ERG",6.93311061348589e-46,5.85019270740262,0.145,0.007,2.08499435479361e-41,"11","ERG"
"NOSTRIN",9.55562299110612e-47,5.76402562947423,0.154,0.008,2.87366250211534e-42,"11","NOSTRIN"
"RASGRF2",1.82012055136702e-48,5.73734444412539,0.179,0.011,5.47364853412605e-44,"11","RASGRF2"
"TPO",1.88944661738666e-55,5.61461419022907,0.145,0.005,5.68213281246691e-51,"11","TPO"
"CYYR1",2.34648998662511e-39,5.59034960007719,0.128,0.006,7.05659933677769e-35,"11","CYYR1"
"TEK",3.57853962084157e-86,5.45401848259431,0.214,0.007,1.07617422017568e-81,"11","TEK"
"SHE",4.8415053519311e-52,5.40500944149939,0.137,0.005,1.45598590448624e-47,"11","SHE"
"ADGRL4",2.92401420783352e-57,5.37520422960595,0.214,0.013,8.79338792721776e-53,"11","ADGRL4"
"RASIP1",4.9138402160109e-37,5.3494039569881,0.103,0.004,1.47773916816096e-32,"11","RASIP1"
"EMCN",6.20410468831232e-45,5.34820729519865,0.222,0.019,1.86576040291616e-40,"11","EMCN"
"CCDC68",1.31639882957652e-35,5.31732032560229,0.103,0.004,3.95880620018548e-31,"11","CCDC68"
"CA8",7.31500424540799e-53,5.2431268804924,0.154,0.006,2.19984122672154e-48,"11","CA8"
"RAMP3",2.54749260606256e-36,5.20327254217887,0.111,0.005,7.66107451421195e-32,"11","RAMP3"
"GIMAP4",4.89412468212407e-33,5.20189303740199,0.103,0.005,1.47181011565517e-28,"11","GIMAP4"
"FLT1",3.5733076049785e-53,5.1949749407996,0.325,0.036,1.07460079604518e-48,"11","FLT1"
"ADCY4",2.96102254385198e-42,5.14880491608034,0.12,0.005,8.90468309612606e-38,"11","ADCY4"
"ADGRF5",2.16222099038767e-60,5.09283242583146,0.248,0.017,6.50244718439285e-56,"11","ADGRF5"
"SOX18",9.31875541714618e-60,5.05457654838223,0.188,0.009,2.80242931659837e-55,"11","SOX18"
"CDH5",3.3947679430214e-38,5.0159130525388,0.128,0.007,1.02090856350483e-33,"11","CDH5"
"PECAM1",1.42364636758532e-65,4.98215925919672,0.265,0.017,4.28133172123934e-61,"11","PECAM1"
"EHD2",4.56965237292271e-29,4.9767178494982,0.12,0.008,1.37423155810905e-24,"11","EHD2"
"XAF1",6.715551850614e-52,4.94257595377409,0.197,0.012,2.01956790803515e-47,"11","XAF1"
"FLI1",1.09016407001426e-30,4.89901685533648,0.179,0.018,3.27845040775388e-26,"11","FLI1"
"PPP1R16B",3.94578906115815e-54,4.89260373228003,0.111,0.002,1.18661714436209e-49,"11","PPP1R16B"
"ANXA3",6.42363210950752e-32,4.88466028088208,0.111,0.006,1.9317788842922e-27,"11","ANXA3"
"NOTCH4",5.70004252348054e-54,4.80398067284281,0.128,0.004,1.7141737880863e-49,"11","NOTCH4"
"VWF",3.47242950462305e-61,4.79058422767848,0.325,0.03,1.04426372492529e-56,"11","VWF"
"DACH1",4.20283643248647e-42,4.73689424934346,0.188,0.014,1.26391900034166e-37,"11","DACH1"
"SGK1",8.13954354220061e-46,4.70989017016567,0.179,0.011,2.44780492944599e-41,"11","SGK1"
"VAV3",5.96826213011193e-30,4.69745195566987,0.137,0.011,1.79483547038856e-25,"11","VAV3"
"NEDD9",8.51159356049118e-38,4.67039683822753,0.231,0.025,2.55969153144651e-33,"11","NEDD9"
"MCTP1",1.0692176910153e-32,4.5625721701601,0.128,0.008,3.2154583621903e-28,"11","MCTP1"
"GIMAP7",2.51126872782731e-42,4.52785884493655,0.145,0.008,7.55213844519506e-38,"11","GIMAP7"
"TCF15",3.13264252034131e-34,4.50090580136841,0.128,0.008,9.42079585142242e-30,"11","TCF15"
"SULF2",3.21523128641743e-26,4.47941765412539,0.111,0.008,9.66916504764314e-22,"11","SULF2"
"LDB21",3.05136087100664e-40,4.4768150100457,0.333,0.05,9.17635754737826e-36,"11","LDB2"
"EGFL7",9.58888961116814e-65,4.46875671979293,0.274,0.019,2.8836667727666e-60,"11","EGFL7"
"TCIM",2.16902168538381e-21,4.45293728200616,0.128,0.014,6.52289891445474e-17,"11","TCIM"
"SEC14L11",6.59757404179984e-26,4.44928820168783,0.274,0.052,1.98408844159046e-21,"11","SEC14L1"
"AQP1",5.12368630765804e-19,4.42348640207575,0.137,0.018,1.540846183302e-14,"11","AQP1"
"CLDN5",4.14505502784879e-22,4.41365265358554,0.111,0.01,1.24654239852497e-17,"11","CLDN5"
"MGLL1",1.86641407929999e-36,4.38922309604295,0.325,0.052,5.61286706067886e-32,"11","MGLL"
"MTRNR2L121",7.81113043601628e-53,4.36880425452558,0.821,0.305,2.34904125602318e-48,"11","MTRNR2L12"
"PRKCH",7.07201919628481e-34,4.3559562129541,0.274,0.039,2.12676833289873e-29,"11","PRKCH"
"HLA-DRB1",2.89493099044363e-30,4.32579970244002,0.145,0.012,8.70592596756112e-26,"11","HLA-DRB1"
"IFI44",1.41053081432292e-27,4.32060973192756,0.12,0.009,4.24188931791332e-23,"11","IFI44"
"MT-ATP6",1.77540610582574e-58,4.30221195325116,0.846,0.333,5.33917878204976e-54,"11","MT-ATP6"
"EPSTI1",2.58424046753997e-18,4.30177392352082,0.103,0.01,7.77158635803294e-14,"11","EPSTI1"
"F8",1.65673157854318e-35,4.26709250836815,0.256,0.033,4.98228887615291e-31,"11","F8"
"SLC9A3R21",9.90932777121691e-46,4.2621960756848,0.248,0.023,2.98003214063806e-41,"11","SLC9A3R2"
"CD74",5.95918448306195e-33,4.25740918790962,0.231,0.029,1.79210554959122e-28,"11","CD74"
"MECOM1",2.33444027531407e-48,4.25105907650147,0.316,0.036,7.02036223995199e-44,"11","MECOM"
"VEGFC",2.40150402409827e-30,4.24794223996139,0.128,0.009,7.22204305167073e-26,"11","VEGFC"
"MT-ND21",5.92486834442511e-64,4.24064129440001,0.718,0.185,1.78178565721896e-59,"11","MT-ND2"
"MT-ND41",7.62752153753258e-65,4.21853138226967,0.829,0.284,2.29382455198217e-60,"11","MT-ND4"
"H19",2.76526068492265e-30,4.18298495363383,0.154,0.013,8.31596845776788e-26,"11","H19"
"ID1",5.32479900611333e-36,4.17094856159803,0.231,0.026,1.60132680510846e-31,"11","ID1"
"RGCC",1.3636479492794e-28,4.15465874678319,0.205,0.026,4.10089847786795e-24,"11","RGCC"
"ITPKB",9.2864354775576e-25,4.14549665595994,0.145,0.015,2.7927097411659e-20,"11","ITPKB"
"PITPNC1",2.73491932903048e-28,4.14398794705845,0.316,0.064,8.22472289819336e-24,"11","PITPNC1"
"ITGA1",2.54421491742136e-39,4.12961652538337,0.291,0.038,7.65121752116124e-35,"11","ITGA1"
"KITLG",9.89625564010564e-30,4.11126843895946,0.128,0.009,2.97610095864897e-25,"11","KITLG"
"MT-ND1",1.84389005144618e-66,4.10388187909095,0.769,0.21,5.5451305517141e-62,"11","MT-ND1"
"MT-CO21",7.82770252168064e-58,4.06943288230906,0.863,0.365,2.35402497934502e-53,"11","MT-CO2"
"WARS",5.16882598076425e-19,4.0663177733664,0.197,0.036,1.55442103719523e-14,"11","WARS"
"PSMB9",3.43103950033146e-26,4.06175893125853,0.103,0.007,1.03181650893468e-21,"11","PSMB9"
"MT-CYB1",2.02720269791491e-62,4.04228630212953,0.915,0.409,6.09640667343952e-58,"11","MT-CYB"
"ENG1",9.74653366889724e-41,4.03663750225576,0.299,0.039,2.93107507024747e-36,"11","ENG"
"PLEKHG11",1.68456896933887e-25,4.03026740159429,0.205,0.029,5.06600426149279e-21,"11","PLEKHG1"
"MT-ND51",1.24704357659925e-63,3.99781162830605,0.615,0.125,3.75023414790692e-59,"11","MT-ND5"
"TNNT3",1.77694592599208e-36,3.9899950141752,0.188,0.017,5.343809483236e-32,"11","TNNT3"
"MT-CO31",5.25878035226704e-53,3.98797922925456,0.872,0.432,1.58147301533727e-48,"11","MT-CO3"
"RAMP2",6.95761323038401e-18,3.97021065351232,0.103,0.011,2.09236302677338e-13,"11","RAMP2"
"ELMO11",4.07483131313384e-35,3.96872531657626,0.282,0.04,1.22542402079874e-30,"11","ELMO1"
"ICAM2",1.34653785225703e-48,3.95205280509227,0.154,0.007,4.04944328309257e-44,"11","ICAM2"
"GRASP",1.6742888578768e-24,3.92616256063733,0.12,0.01,5.03508888229289e-20,"11","GRASP"
"CASC15",5.821546617787e-17,3.90248553726082,0.154,0.025,1.75071371436709e-12,"11","CASC15"
"PLCB11",3.94924258127581e-31,3.89610027969882,0.359,0.072,1.18765572146707e-26,"11","PLCB1"
"SLFN5",3.95182613654519e-15,3.86150557914271,0.103,0.013,1.18843267404324e-10,"11","SLFN5"
"SH2D3C",2.51142018787088e-25,3.83946847099588,0.103,0.007,7.55259393098411e-21,"11","SH2D3C"
"KLF4",6.36454240849997e-25,3.83873023484868,0.145,0.015,1.9140088385082e-20,"11","KLF4"
