LDLR
HDAC9
PDGFD
KSR2
BCAS3
MIA3
PHACTR1
SLC22A3
LPAL2
LPA
PLG
7q22
9p21
9p21
FLT1
COL4A1
COL4A2
HHIPL1
ADAMTS7
SMAD3
MFGE8
ABHD2
SMG6
PCSK9
PPAP2B
SORT1
IL6R
AK097927
APOB
ABCG5
ABCG8
VAMP5
VAMP8
GGCX
ZEB2
ACO74093.1
WDR12
MRAS
EDNRA
GUCY1A3
REST
NOA1
SLC22A4
SLC22A5
C6orf105
ADTRP
ANKS1A
KCNK5
TCF21
ZC3HC1
NOS3
LPL
TRIB1
ABO
KIAA1462
CXCL12
LIPA
CYP17A1
CNNM2
NT5C2
ZNF259
APOA5
APOA1
SWAP70
ATP2B1
SH2B3
FURIN
FES
RAI1
PEMT
RASD1
UBE2Z
PMAIP1
MC4R
APOE
APOC1
ZNF507
LOC400684
KCNE2
POM121L9P
ADORA2A
